length_multiply,mpn_s,mpn_d,desired_p_decoy,desired_p_z_alice,factor_x_mud,SKR
10000000.0,0.15,0.075,0.06,0.7000000000000001,1,125993.13537117509
10000000.0,0.15,0.075,0.06,0.7200000000000001,1,45041.32956517172
10000000.0,0.15,0.075,0.08,0.8,1,495434.69258713344
10000000.0,0.15,0.075,0.08,0.8200000000000001,1,245450.0187826908
10000000.0,0.15,0.075,0.1,0.86,1,705457.5642556014
10000000.0,0.15,0.075,0.12000000000000001,0.9,1,735004.5843987517
10000000.0,0.15,0.075,0.13999999999999999,0.92,1,850090.513669703
10000000.0,0.15,0.075,0.16,0.9400000000000001,1,557955.5048364142
10000000.0,0.15,0.075,0.18,0.9400000000000001,1,1001340.583195247
10000000.0,0.15,0.075,0.19999999999999998,0.9600000000000001,1,23036.440749853813
10000000.0,0.15,0.075,0.22,0.9600000000000001,1,851314.7849260895
10000000.0,0.15,0.075,0.24,0.9600000000000001,1,934929.4671161957
10000000.0,0.15,0.075,0.32,0.98,1,147171.00738000986
10000000.0,0.15,0.075,0.34,0.98,1,405557.7636359676
10000000.0,0.15,0.075,0.36000000000000004,0.98,1,470270.7342811585
10000000.0,0.15,0.075,0.38,0.98,1,465032.7050718994
10000000.0,0.15,0.075,0.4,0.98,1,428330.169079867
10000000.0,0.15,0.075,0.42000000000000004,0.98,1,375317.040868435
10000000.0,0.15,0.075,0.44,0.98,1,312964.29679210554
10000000.0,0.15,0.075,0.46,0.98,1,244859.5049892588
10000000.0,0.15,0.075,0.48000000000000004,0.98,1,173015.0531204438
10000000.0,0.15,0.075,0.5,0.98,1,98640.77847737784
10000000.0,0.15,0.075,0.52,0.98,1,22507.569330018072
100000000.0,0.15,0.075,0.02,0.74,1,399424.8332371817
100000000.0,0.15,0.075,0.02,0.76,1,355178.4396786006
100000000.0,0.15,0.075,0.04,0.92,1,1317847.0234248375
100000000.0,0.15,0.075,0.06,0.9600000000000001,1,1626040.689618324
