desired_p_decoy: 0.02, desired_p_z_alice: 0.74, factor_x_mud: 1, SKR: 399424.8332371817
desired_p_decoy: 0.02, desired_p_z_alice: 0.76, factor_x_mud: 1, SKR: 355178.4396786006
desired_p_decoy: 0.04, desired_p_z_alice: 0.92, factor_x_mud: 1, SKR: 1317847.0234248375
desired_p_decoy: 0.06, desired_p_z_alice: 0.96, factor_x_mud: 1, SKR: 1626040.6896183307
desired_p_decoy: 0.02, desired_p_z_alice: 0.74, factor_x_mud: 2, SKR: 404244.61290059617
desired_p_decoy: 0.02, desired_p_z_alice: 0.76, factor_x_mud: 2, SKR: 415110.1956707235
desired_p_decoy: 0.02, desired_p_z_alice: 0.78, factor_x_mud: 2, SKR: 425927.9825108477
desired_p_decoy: 0.02, desired_p_z_alice: 0.8, factor_x_mud: 2, SKR: 436676.38529247773
desired_p_decoy: 0.02, desired_p_z_alice: 0.82, factor_x_mud: 2, SKR: 447315.9818691975
desired_p_decoy: 0.02, desired_p_z_alice: 0.84, factor_x_mud: 2, SKR: 457774.6886502035
desired_p_decoy: 0.02, desired_p_z_alice: 0.86, factor_x_mud: 2, SKR: 467912.0764766575
desired_p_decoy: 0.02, desired_p_z_alice: 0.88, factor_x_mud: 2, SKR: 477427.03850728925
desired_p_decoy: 0.02, desired_p_z_alice: 0.9, factor_x_mud: 2, SKR: 485578.67853989627
desired_p_decoy: 0.02, desired_p_z_alice: 0.92, factor_x_mud: 2, SKR: 490119.4634279687
desired_p_decoy: 0.02, desired_p_z_alice: 0.94, factor_x_mud: 2, SKR: 481259.7328462964
desired_p_decoy: 0.02, desired_p_z_alice: 0.96, factor_x_mud: 2, SKR: 359519.8894103434
desired_p_decoy: 0.04, desired_p_z_alice: 0.92, factor_x_mud: 2, SKR: 1364707.0558206418
desired_p_decoy: 0.04, desired_p_z_alice: 0.94, factor_x_mud: 2, SKR: 1393521.6377325433
desired_p_decoy: 0.04, desired_p_z_alice: 0.96, factor_x_mud: 2, SKR: 1419602.293273863
desired_p_decoy: 0.04, desired_p_z_alice: 0.98, factor_x_mud: 2, SKR: 1417848.8693566285
desired_p_decoy: 0.06, desired_p_z_alice: 0.96, factor_x_mud: 2, SKR: 1663159.7827154733
desired_p_decoy: 0.06, desired_p_z_alice: 0.98, factor_x_mud: 2, SKR: 1692145.9714738808
desired_p_decoy: 0.08, desired_p_z_alice: 0.98, factor_x_mud: 2, SKR: 1772678.047040338
desired_p_decoy: 0.02, desired_p_z_alice: 0.74, factor_x_mud: 3, SKR: 404255.8947652913
desired_p_decoy: 0.02, desired_p_z_alice: 0.76, factor_x_mud: 3, SKR: 415164.95711194084
desired_p_decoy: 0.02, desired_p_z_alice: 0.78, factor_x_mud: 3, SKR: 426061.50052418653
desired_p_decoy: 0.02, desired_p_z_alice: 0.8, factor_x_mud: 3, SKR: 436940.81577870634
desired_p_decoy: 0.02, desired_p_z_alice: 0.82, factor_x_mud: 3, SKR: 447794.56813501404
desired_p_decoy: 0.02, desired_p_z_alice: 0.84, factor_x_mud: 3, SKR: 458608.39976340625
desired_p_decoy: 0.02, desired_p_z_alice: 0.86, factor_x_mud: 3, SKR: 469356.44543901103
desired_p_decoy: 0.02, desired_p_z_alice: 0.88, factor_x_mud: 3, SKR: 479988.6033517235
desired_p_decoy: 0.02, desired_p_z_alice: 0.9, factor_x_mud: 3, SKR: 490397.4248459179
desired_p_decoy: 0.02, desired_p_z_alice: 0.92, factor_x_mud: 3, SKR: 500316.2225754907
desired_p_decoy: 0.02, desired_p_z_alice: 0.94, factor_x_mud: 3, SKR: 508914.8540851122
desired_p_decoy: 0.02, desired_p_z_alice: 0.96, factor_x_mud: 3, SKR: 512308.5125924831
desired_p_decoy: 0.02, desired_p_z_alice: 0.98, factor_x_mud: 3, SKR: 456596.184762138
desired_p_decoy: 0.04, desired_p_z_alice: 0.92, factor_x_mud: 3, SKR: 1364787.9860408856
desired_p_decoy: 0.04, desired_p_z_alice: 0.94, factor_x_mud: 3, SKR: 1394230.811236421
desired_p_decoy: 0.04, desired_p_z_alice: 0.96, factor_x_mud: 3, SKR: 1423063.1747478244
desired_p_decoy: 0.04, desired_p_z_alice: 0.98, factor_x_mud: 3, SKR: 1447649.4306771979
desired_p_decoy: 0.06, desired_p_z_alice: 0.96, factor_x_mud: 3, SKR: 1663248.2527155704
desired_p_decoy: 0.06, desired_p_z_alice: 0.98, factor_x_mud: 3, SKR: 1696511.8448584573
desired_p_decoy: 0.08, desired_p_z_alice: 0.98, factor_x_mud: 3, SKR: 1773319.9986335484
desired_p_decoy: 0.02, desired_p_z_alice: 0.74, factor_x_mud: 4, SKR: 404258.24565461907
desired_p_decoy: 0.02, desired_p_z_alice: 0.76, factor_x_mud: 4, SKR: 415176.20132742525
desired_p_decoy: 0.02, desired_p_z_alice: 0.78, factor_x_mud: 4, SKR: 426088.3684937689
desired_p_decoy: 0.02, desired_p_z_alice: 0.8, factor_x_mud: 4, SKR: 436992.7210643955
desired_p_decoy: 0.02, desired_p_z_alice: 0.82, factor_x_mud: 4, SKR: 447885.6958454579
desired_p_decoy: 0.02, desired_p_z_alice: 0.84, factor_x_mud: 4, SKR: 458761.26258264546
desired_p_decoy: 0.02, desired_p_z_alice: 0.86, factor_x_mud: 4, SKR: 469608.8099187526
desired_p_decoy: 0.02, desired_p_z_alice: 0.88, factor_x_mud: 4, SKR: 480408.38470944663
desired_p_decoy: 0.02, desired_p_z_alice: 0.9, factor_x_mud: 4, SKR: 491118.81013568107
desired_p_decoy: 0.02, desired_p_z_alice: 0.92, factor_x_mud: 4, SKR: 501643.122435233
desired_p_decoy: 0.02, desired_p_z_alice: 0.94, factor_x_mud: 4, SKR: 511702.392245053
desired_p_decoy: 0.02, desired_p_z_alice: 0.96, factor_x_mud: 4, SKR: 520163.3736212284
desired_p_decoy: 0.02, desired_p_z_alice: 0.98, factor_x_mud: 4, SKR: 516732.61983088084
desired_p_decoy: 0.04, desired_p_z_alice: 0.92, factor_x_mud: 4, SKR: 1364804.7174781954
