mpn_s: 0.15, mpn_d: 0.075, desired_p_decoy: 0.92, desired_p_z_alice: 0.4, factor_x_mud: 1, SKR: [1396591.21858957]
mpn_s: 0.15, mpn_d: 0.075, desired_p_decoy: 0.92, desired_p_z_alice: 0.42000000000000004, factor_x_mud: 1, SKR: [1466291.64352089]
mpn_s: 0.15, mpn_d: 0.075, desired_p_decoy: 0.92, desired_p_z_alice: 0.44, factor_x_mud: 1, SKR: [1535967.24460038]
mpn_s: 0.15, mpn_d: 0.075, desired_p_decoy: 0.92, desired_p_z_alice: 0.46, factor_x_mud: 1, SKR: [1605614.69993965]
mpn_s: 0.15, mpn_d: 0.075, desired_p_decoy: 0.92, desired_p_z_alice: 0.48000000000000004, factor_x_mud: 1, SKR: [1675230.12033697]
mpn_s: 0.15, mpn_d: 0.075, desired_p_decoy: 0.92, desired_p_z_alice: 0.5, factor_x_mud: 1, SKR: [1744808.92540966]
mpn_s: 0.15, mpn_d: 0.075, desired_p_decoy: 0.92, desired_p_z_alice: 0.52, factor_x_mud: 1, SKR: [1814345.68643531]
mpn_s: 0.15, mpn_d: 0.075, desired_p_decoy: 0.92, desired_p_z_alice: 0.54, factor_x_mud: 1, SKR: [1883833.92508358]
mpn_s: 0.15, mpn_d: 0.075, desired_p_decoy: 0.92, desired_p_z_alice: 0.56, factor_x_mud: 1, SKR: [1953265.85304504]
mpn_s: 0.15, mpn_d: 0.075, desired_p_decoy: 0.92, desired_p_z_alice: 0.5800000000000001, factor_x_mud: 1, SKR: [2022632.03149649]
mpn_s: 0.15, mpn_d: 0.075, desired_p_decoy: 0.92, desired_p_z_alice: 0.6, factor_x_mud: 1, SKR: [2091920.92038454]
mpn_s: 0.15, mpn_d: 0.075, desired_p_decoy: 0.92, desired_p_z_alice: 0.62, factor_x_mud: 1, SKR: [2161118.27405594]
mpn_s: 0.15, mpn_d: 0.075, desired_p_decoy: 0.92, desired_p_z_alice: 0.64, factor_x_mud: 1, SKR: [2230206.31917509]
mpn_s: 0.15, mpn_d: 0.075, desired_p_decoy: 0.92, desired_p_z_alice: 0.66, factor_x_mud: 1, SKR: [2299162.61870251]
mpn_s: 0.15, mpn_d: 0.075, desired_p_decoy: 0.92, desired_p_z_alice: 0.68, factor_x_mud: 1, SKR: [2367958.47429606]
mpn_s: 0.15, mpn_d: 0.075, desired_p_decoy: 0.92, desired_p_z_alice: 0.7000000000000001, factor_x_mud: 1, SKR: [2436556.63521676]
mpn_s: 0.15, mpn_d: 0.075, desired_p_decoy: 0.92, desired_p_z_alice: 0.7200000000000001, factor_x_mud: 1, SKR: [2504907.93970286]
mpn_s: 0.15, mpn_d: 0.075, desired_p_decoy: 0.92, desired_p_z_alice: 0.74, factor_x_mud: 1, SKR: [2572946.2673959]
mpn_s: 0.15, mpn_d: 0.075, desired_p_decoy: 0.92, desired_p_z_alice: 0.76, factor_x_mud: 1, SKR: [2640580.73502091]
mpn_s: 0.15, mpn_d: 0.075, desired_p_decoy: 0.92, desired_p_z_alice: 0.78, factor_x_mud: 1, SKR: [2707683.2282391]
mpn_s: 0.15, mpn_d: 0.075, desired_p_decoy: 0.92, desired_p_z_alice: 0.8, factor_x_mud: 1, SKR: [2774067.70779983]
mpn_s: 0.15, mpn_d: 0.075, desired_p_decoy: 0.92, desired_p_z_alice: 0.8200000000000001, factor_x_mud: 1, SKR: [2839454.27901782]
mpn_s: 0.15, mpn_d: 0.075, desired_p_decoy: 0.92, desired_p_z_alice: 0.8400000000000001, factor_x_mud: 1, SKR: [2903403.33456002]
mpn_s: 0.15, mpn_d: 0.075, desired_p_decoy: 0.92, desired_p_z_alice: 0.86, factor_x_mud: 1, SKR: [2965186.5653123]
mpn_s: 0.15, mpn_d: 0.075, desired_p_decoy: 0.92, desired_p_z_alice: 0.88, factor_x_mud: 1, SKR: [3023512.36370466]
mpn_s: 0.15, mpn_d: 0.075, desired_p_decoy: 0.92, desired_p_z_alice: 0.9, factor_x_mud: 1, SKR: [3075874.45103735]
mpn_s: 0.15, mpn_d: 0.075, desired_p_decoy: 0.92, desired_p_z_alice: 0.92, factor_x_mud: 1, SKR: [3116761.99290287]
mpn_s: 0.15, mpn_d: 0.075, desired_p_decoy: 0.92, desired_p_z_alice: 0.9400000000000001, factor_x_mud: 1, SKR: [3131568.18744642]
mpn_s: 0.15, mpn_d: 0.075, desired_p_decoy: 0.92, desired_p_z_alice: 0.9600000000000001, factor_x_mud: 1, SKR: [3067195.35470951]
mpn_s: 0.15, mpn_d: 0.075, desired_p_decoy: 0.92, desired_p_z_alice: 0.98, factor_x_mud: 1, SKR: [2536819.94156193]
mpn_s: 0.15, mpn_d: 0.075, desired_p_decoy: 0.9400000000000001, desired_p_z_alice: 0.02, factor_x_mud: 1, SKR: [66600.47033503]
mpn_s: 0.15, mpn_d: 0.075, desired_p_decoy: 0.9400000000000001, desired_p_z_alice: 0.04, factor_x_mud: 1, SKR: [133198.57533405]
mpn_s: 0.15, mpn_d: 0.075, desired_p_decoy: 0.9400000000000001, desired_p_z_alice: 0.06, factor_x_mud: 1, SKR: [199793.73979655]
mpn_s: 0.15, mpn_d: 0.075, desired_p_decoy: 0.9400000000000001, desired_p_z_alice: 0.08, factor_x_mud: 1, SKR: [266385.45951312]
mpn_s: 0.15, mpn_d: 0.075, desired_p_decoy: 0.9400000000000001, desired_p_z_alice: 0.1, factor_x_mud: 1, SKR: [332973.24303525]
mpn_s: 0.15, mpn_d: 0.075, desired_p_decoy: 0.9400000000000001, desired_p_z_alice: 0.12000000000000001, factor_x_mud: 1, SKR: [399556.58645483]
mpn_s: 0.15, mpn_d: 0.075, desired_p_decoy: 0.9400000000000001, desired_p_z_alice: 0.13999999999999999, factor_x_mud: 1, SKR: [466134.95862475]
mpn_s: 0.15, mpn_d: 0.075, desired_p_decoy: 0.9400000000000001, desired_p_z_alice: 0.16, factor_x_mud: 1, SKR: [532707.79005552]
mpn_s: 0.15, mpn_d: 0.075, desired_p_decoy: 0.9400000000000001, desired_p_z_alice: 0.18, factor_x_mud: 1, SKR: [599274.46302121]
mpn_s: 0.15, mpn_d: 0.075, desired_p_decoy: 0.9400000000000001, desired_p_z_alice: 0.19999999999999998, factor_x_mud: 1, SKR: [665834.30172405]
mpn_s: 0.15, mpn_d: 0.075, desired_p_decoy: 0.9400000000000001, desired_p_z_alice: 0.22, factor_x_mud: 1, SKR: [732386.56183958]
mpn_s: 0.15, mpn_d: 0.075, desired_p_decoy: 0.9400000000000001, desired_p_z_alice: 0.24, factor_x_mud: 1, SKR: [798930.4189421]
mpn_s: 0.15, mpn_d: 0.075, desired_p_decoy: 0.9400000000000001, desired_p_z_alice: 0.26, factor_x_mud: 1, SKR: [865464.95536048]
mpn_s: 0.15, mpn_d: 0.075, desired_p_decoy: 0.9400000000000001, desired_p_z_alice: 0.28, factor_x_mud: 1, SKR: [931989.14499886]
mpn_s: 0.15, mpn_d: 0.075, desired_p_decoy: 0.9400000000000001, desired_p_z_alice: 0.30000000000000004, factor_x_mud: 1, SKR: [998501.83559712]
mpn_s: 0.15, mpn_d: 0.075, desired_p_decoy: 0.9400000000000001, desired_p_z_alice: 0.32, factor_x_mud: 1, SKR: [1065001.72780751]
mpn_s: 0.15, mpn_d: 0.075, desired_p_decoy: 0.9400000000000001, desired_p_z_alice: 0.34, factor_x_mud: 1, SKR: [1131487.3503248]
mpn_s: 0.15, mpn_d: 0.075, desired_p_decoy: 0.9400000000000001, desired_p_z_alice: 0.36000000000000004, factor_x_mud: 1, SKR: [1197957.03011993]
mpn_s: 0.15, mpn_d: 0.075, desired_p_decoy: 0.9400000000000001, desired_p_z_alice: 0.38, factor_x_mud: 1, SKR: [1264408.8565772]
mpn_s: 0.15, mpn_d: 0.075, desired_p_decoy: 0.9400000000000001, desired_p_z_alice: 0.4, factor_x_mud: 1, SKR: [1330840.63800403]
mpn_s: 0.15, mpn_d: 0.075, desired_p_decoy: 0.9400000000000001, desired_p_z_alice: 0.42000000000000004, factor_x_mud: 1, SKR: [1397249.84854061]
mpn_s: 0.15, mpn_d: 0.075, desired_p_decoy: 0.9400000000000001, desired_p_z_alice: 0.44, factor_x_mud: 1, SKR: [1463633.56290447]
mpn_s: 0.15, mpn_d: 0.075, desired_p_decoy: 0.9400000000000001, desired_p_z_alice: 0.46, factor_x_mud: 1, SKR: [1529988.37560387]
mpn_s: 0.15, mpn_d: 0.075, desired_p_decoy: 0.9400000000000001, desired_p_z_alice: 0.48000000000000004, factor_x_mud: 1, SKR: [1596310.30016011]
mpn_s: 0.15, mpn_d: 0.075, desired_p_decoy: 0.9400000000000001, desired_p_z_alice: 0.5, factor_x_mud: 1, SKR: [1662594.64236952]
mpn_s: 0.15, mpn_d: 0.075, desired_p_decoy: 0.9400000000000001, desired_p_z_alice: 0.52, factor_x_mud: 1, SKR: [1728835.83952921]
mpn_s: 0.15, mpn_d: 0.075, desired_p_decoy: 0.9400000000000001, desired_p_z_alice: 0.54, factor_x_mud: 1, SKR: [1795027.25457449]
mpn_s: 0.15, mpn_d: 0.075, desired_p_decoy: 0.9400000000000001, desired_p_z_alice: 0.56, factor_x_mud: 1, SKR: [1861160.90981295]
mpn_s: 0.15, mpn_d: 0.075, desired_p_decoy: 0.9400000000000001, desired_p_z_alice: 0.5800000000000001, factor_x_mud: 1, SKR: [1927227.13874792]
mpn_s: 0.15, mpn_d: 0.075, desired_p_decoy: 0.9400000000000001, desired_p_z_alice: 0.6, factor_x_mud: 1, SKR: [1993214.12534234]
mpn_s: 0.15, mpn_d: 0.075, desired_p_decoy: 0.9400000000000001, desired_p_z_alice: 0.62, factor_x_mud: 1, SKR: [2059107.2863498]
mpn_s: 0.15, mpn_d: 0.075, desired_p_decoy: 0.9400000000000001, desired_p_z_alice: 0.64, factor_x_mud: 1, SKR: [2124888.43133916]
mpn_s: 0.15, mpn_d: 0.075, desired_p_decoy: 0.9400000000000001, desired_p_z_alice: 0.66, factor_x_mud: 1, SKR: [2190534.60224056]
mpn_s: 0.15, mpn_d: 0.075, desired_p_decoy: 0.9400000000000001, desired_p_z_alice: 0.68, factor_x_mud: 1, SKR: [2256016.44183274]
mpn_s: 0.15, mpn_d: 0.075, desired_p_decoy: 0.9400000000000001, desired_p_z_alice: 0.7000000000000001, factor_x_mud: 1, SKR: [2321295.85470775]
mpn_s: 0.15, mpn_d: 0.075, desired_p_decoy: 0.9400000000000001, desired_p_z_alice: 0.7200000000000001, factor_x_mud: 1, SKR: [2386322.57947936]
mpn_s: 0.15, mpn_d: 0.075, desired_p_decoy: 0.9400000000000001, desired_p_z_alice: 0.74, factor_x_mud: 1, SKR: [2451029.03910756]
mpn_s: 0.15, mpn_d: 0.075, desired_p_decoy: 0.9400000000000001, desired_p_z_alice: 0.76, factor_x_mud: 1, SKR: [2515322.38188726]
mpn_s: 0.15, mpn_d: 0.075, desired_p_decoy: 0.9400000000000001, desired_p_z_alice: 0.78, factor_x_mud: 1, SKR: [2579071.77186591]
