length_multiply: 10000000.0, mpn_s: 0.15, mpn_d: 0.075, desired_p_decoy: 0.06, desired_p_z_alice: 0.7000000000000001, factor_x_mud: 1, SKR: 125993.13537117509
length_multiply: 10000000.0, mpn_s: 0.15, mpn_d: 0.075, desired_p_decoy: 0.06, desired_p_z_alice: 0.7200000000000001, factor_x_mud: 1, SKR: 45041.32956517172
length_multiply: 10000000.0, mpn_s: 0.15, mpn_d: 0.075, desired_p_decoy: 0.08, desired_p_z_alice: 0.8, factor_x_mud: 1, SKR: 495434.69258713344
length_multiply: 10000000.0, mpn_s: 0.15, mpn_d: 0.075, desired_p_decoy: 0.08, desired_p_z_alice: 0.8200000000000001, factor_x_mud: 1, SKR: 245450.0187826908
length_multiply: 10000000.0, mpn_s: 0.15, mpn_d: 0.075, desired_p_decoy: 0.1, desired_p_z_alice: 0.86, factor_x_mud: 1, SKR: 705457.5642556014
length_multiply: 10000000.0, mpn_s: 0.15, mpn_d: 0.075, desired_p_decoy: 0.12000000000000001, desired_p_z_alice: 0.9, factor_x_mud: 1, SKR: 735004.5843987517
length_multiply: 10000000.0, mpn_s: 0.15, mpn_d: 0.075, desired_p_decoy: 0.13999999999999999, desired_p_z_alice: 0.92, factor_x_mud: 1, SKR: 850090.513669703
length_multiply: 10000000.0, mpn_s: 0.15, mpn_d: 0.075, desired_p_decoy: 0.16, desired_p_z_alice: 0.9400000000000001, factor_x_mud: 1, SKR: 557955.5048364142
length_multiply: 10000000.0, mpn_s: 0.15, mpn_d: 0.075, desired_p_decoy: 0.18, desired_p_z_alice: 0.9400000000000001, factor_x_mud: 1, SKR: 1001340.583195247
length_multiply: 10000000.0, mpn_s: 0.15, mpn_d: 0.075, desired_p_decoy: 0.19999999999999998, desired_p_z_alice: 0.9600000000000001, factor_x_mud: 1, SKR: 23036.440749853813
length_multiply: 10000000.0, mpn_s: 0.15, mpn_d: 0.075, desired_p_decoy: 0.22, desired_p_z_alice: 0.9600000000000001, factor_x_mud: 1, SKR: 851314.7849260895
length_multiply: 10000000.0, mpn_s: 0.15, mpn_d: 0.075, desired_p_decoy: 0.24, desired_p_z_alice: 0.9600000000000001, factor_x_mud: 1, SKR: 934929.4671161957
length_multiply: 10000000.0, mpn_s: 0.15, mpn_d: 0.075, desired_p_decoy: 0.32, desired_p_z_alice: 0.98, factor_x_mud: 1, SKR: 147171.00738000986
length_multiply: 10000000.0, mpn_s: 0.15, mpn_d: 0.075, desired_p_decoy: 0.34, desired_p_z_alice: 0.98, factor_x_mud: 1, SKR: 405557.7636359676
length_multiply: 10000000.0, mpn_s: 0.15, mpn_d: 0.075, desired_p_decoy: 0.36000000000000004, desired_p_z_alice: 0.98, factor_x_mud: 1, SKR: 470270.7342811585
length_multiply: 10000000.0, mpn_s: 0.15, mpn_d: 0.075, desired_p_decoy: 0.38, desired_p_z_alice: 0.98, factor_x_mud: 1, SKR: 465032.7050718994
length_multiply: 10000000.0, mpn_s: 0.15, mpn_d: 0.075, desired_p_decoy: 0.4, desired_p_z_alice: 0.98, factor_x_mud: 1, SKR: 428330.169079867
length_multiply: 10000000.0, mpn_s: 0.15, mpn_d: 0.075, desired_p_decoy: 0.42000000000000004, desired_p_z_alice: 0.98, factor_x_mud: 1, SKR: 375317.040868435
length_multiply: 10000000.0, mpn_s: 0.15, mpn_d: 0.075, desired_p_decoy: 0.44, desired_p_z_alice: 0.98, factor_x_mud: 1, SKR: 312964.29679210554
length_multiply: 10000000.0, mpn_s: 0.15, mpn_d: 0.075, desired_p_decoy: 0.46, desired_p_z_alice: 0.98, factor_x_mud: 1, SKR: 244859.5049892588
length_multiply: 10000000.0, mpn_s: 0.15, mpn_d: 0.075, desired_p_decoy: 0.48000000000000004, desired_p_z_alice: 0.98, factor_x_mud: 1, SKR: 173015.0531204438
length_multiply: 10000000.0, mpn_s: 0.15, mpn_d: 0.075, desired_p_decoy: 0.5, desired_p_z_alice: 0.98, factor_x_mud: 1, SKR: 98640.77847737784
length_multiply: 10000000.0, mpn_s: 0.15, mpn_d: 0.075, desired_p_decoy: 0.52, desired_p_z_alice: 0.98, factor_x_mud: 1, SKR: 22507.569330018072
length_multiply: 100000000.0, mpn_s: 0.15, mpn_d: 0.075, desired_p_decoy: 0.02, desired_p_z_alice: 0.74, factor_x_mud: 1, SKR: 399424.8332371817
length_multiply: 100000000.0, mpn_s: 0.15, mpn_d: 0.075, desired_p_decoy: 0.02, desired_p_z_alice: 0.76, factor_x_mud: 1, SKR: 355178.4396786006
length_multiply: 100000000.0, mpn_s: 0.15, mpn_d: 0.075, desired_p_decoy: 0.04, desired_p_z_alice: 0.92, factor_x_mud: 1, SKR: 1317847.0234248375
length_multiply: 100000000.0, mpn_s: 0.15, mpn_d: 0.075, desired_p_decoy: 0.06, desired_p_z_alice: 0.9600000000000001, factor_x_mud: 1, SKR: 1626040.689618324
