basis_1,value_1,decoy_1,basis_2,value_2,decoy_2
1,1,0,1,1,0
1,1,0,1,0,0
1,1,0,0,0,0
1,1,0,0,1,0
1,1,0,1,1,1
1,1,0,1,0,1
1,1,0,0,0,1
1,1,0,0,1,1
1,0,0,1,1,0
1,0,0,1,0,0
1,0,0,0,0,0
1,0,0,0,1,0
1,0,0,1,1,1
1,0,0,1,0,1
1,0,0,0,0,1
1,0,0,0,1,1
0,0,0,1,1,0
0,0,0,1,0,0
0,0,0,0,0,0
0,0,0,0,1,0
0,0,0,1,1,1
0,0,0,1,0,1
0,0,0,0,0,1
0,0,0,0,1,1
0,1,0,1,1,0
0,1,0,1,0,0
0,1,0,0,0,0
0,1,0,0,1,0
0,1,0,1,1,1
0,1,0,1,0,1
0,1,0,0,0,1
0,1,0,0,1,1
1,1,1,1,1,0
1,1,1,1,0,0
1,1,1,0,0,0
1,1,1,0,1,0
1,1,1,1,1,1
1,1,1,1,0,1
1,1,1,0,0,1
1,1,1,0,1,1
1,0,1,1,1,0
1,0,1,1,0,0
1,0,1,0,0,0
1,0,1,0,1,0
1,0,1,1,1,1
1,0,1,1,0,1
1,0,1,0,0,1
1,0,1,0,1,1
0,0,1,1,1,0
0,0,1,1,0,0
0,0,1,0,0,0
0,0,1,0,1,0
0,0,1,1,1,1
0,0,1,1,0,1
0,0,1,0,0,1
0,0,1,0,1,1
0,1,1,1,1,0
0,1,1,1,0,0
0,1,1,0,0,0
0,1,1,0,1,0
0,1,1,1,1,1
0,1,1,1,0,1
0,1,1,0,0,1
0,1,1,0,1,1
