Current (mA), Wavelength (nm)
50008.69, 1551.089
60008.62, 1551.278
70009.85999999999, 1551.538
80008.8, 1551.898
90006.67, 1552.287
100006.1, 1552.727
110866.99999999999, 1553.256
120870.7, 1553.785
130872.6, 1554.345
50008.53999999999, 1552.916
60008.5, 1553.096
70009.82999999999, 1553.336
80008.62999999999, 1553.635
90006.45999999999, 1553.995
100006.1, 1554.395
110859.4, 1554.874
120861.8, 1555.363
130866.5, 1555.883
40007.89, 1550.788
50007.3, 1550.978
60007.94, 1551.288
70009.74, 1551.747
80007.59000000001, 1552.247
90005.22, 1552.836
100006.1, 1553.526
110661.39999999998, 1554.275
120676.90000000001, 1555.044
130680.8, 1555.923
40007.87, 1551.749
50008.01, 1551.889
60008.28, 1552.168
70009.78, 1552.568
80008.29000000001, 1553.007
90006.1, 1553.566
100006.20000000001, 1554.195
110697.90000000001, 1554.865
120700.90000000001, 1555.643
130702.49999999999, 1556.412
