Current (mA), Wavelength (nm)
50.00869,1551.089
60.00862,1551.278
70.00985999999999,1551.538
80.00880000000001,1551.898
90.00667,1552.287
100.0061,1552.727
110.867,1553.256
120.8707,1553.785
130.8726,1554.345
50.008539999999996,1552.916
60.0085,1553.096
70.00983,1553.336
80.00863,1553.635
90.00645999999999,1553.995
100.0061,1554.395
110.8594,1554.874
120.8618,1555.363
130.8665,1555.883
40.007889999999996,1550.788
50.0073,1550.978
60.007940000000005,1551.288
70.00974000000001,1551.747
80.00759000000001,1552.247
90.00522,1552.836
100.0061,1553.526
110.66139999999999,1554.275
120.67689999999999,1555.044
130.6808,1555.923
40.007870000000004,1551.749
50.00801,1551.889
60.00828,1552.168
70.00977999999999,1552.568
80.00829,1553.007
90.0061,1553.566
100.00619999999999,1554.195
110.69789999999999,1554.865
120.70089999999999,1555.643
130.7025,1556.412
