Current (mA), Optical Power (mW)
50.00869, 2.830389737628459e-06
60.00862, 7.658696631301644e-06
70.00985999999999, 1.3191026925717755e-05
80.00880000000001, 2.036992874557004e-05
90.00667, 2.937005987508325e-05
100.0061, 3.401773641105283e-05
110.86699999999999, 4.640717970307034e-05
120.8707, 5.860084282574752e-05
130.8726, 6.166122597219825e-05
50.008539999999996, 1.1590396726592407e-05
60.0085, 2.1197967147566572e-05
70.00983, 3.1537348288588406e-05
80.00863, 4.709953025639304e-05
90.00645999999999, 5.9880510502281035e-05
100.0061, 8.136194681313404e-05
110.8594, 9.83457363586331e-05
120.8618, 0.00010600739208166698
130.8665, 0.00013016132974110064
40.007889999999996, 1.340277643710676e-06
50.0073, 2.494814484662418e-06
60.007940000000005, 3.987973239453535e-06
70.00974000000001, 7.185742422629323e-06
80.00759000000001, 9.148568653493095e-06
90.00522, 8.68409928728989e-06
100.0061, 8.11275850154681e-06
110.66139999999999, 1.2671649977562533e-05
120.6769, 8.979117877585102e-06
130.6808, 8.990124210498844e-06
40.007870000000004, 1.1369792211154618e-06
50.00801, 4.032960268027619e-06
60.00828, 6.131979536210987e-06
70.00977999999999, 9.172855298166267e-06
80.00829, 1.2423175312796408e-05
90.0061, 1.8131778701828838e-05
100.0062, 2.0883303819192227e-05
110.6979, 1.336513086570474e-05
120.7009, 2.206539628908895e-05
130.7025, 2.115226703126049e-05
