Wavelength (nm), neff
1550,1.554659712673e+00
1551,1.554309160322e+00
1552,1.553958779338e+00
1553,1.553608569717e+00
1554,1.553258531453e+00
1555,1.552908664540e+00
1556,1.552558968972e+00
1557,1.552208931820e+00
1558,1.551858115924e+00
1559,1.551507475037e+00
1560,1.551157009144e+00
1561,1.550806718230e+00
1562,1.550456602278e+00
1563,1.550106661273e+00
1564,1.549756895195e+00
1565,1.549407304027e+00
1566,1.549057887750e+00
1567,1.548708646344e+00
1568,1.548359579790e+00
1569,1.548010688065e+00
