length_multiply,mpn_s,mpn_d,desired_p_decoy,desired_p_z_alice,factor_x_mud,SKR
10000000.0,0.15,0.075,0.02,0.02,1,[51680.15316764]
10000000.0,0.15,0.075,0.02,0.04,1,[100408.03161316]
10000000.0,0.15,0.075,0.02,0.06,1,[125220.34628884]
10000000.0,0.15,0.075,0.04,0.02,1,[128273.00819635]
10000000.0,0.15,0.075,0.04,0.04,1,[256257.11559284]
10000000.0,0.15,0.075,0.04,0.06,1,[383684.44862418]
10000000.0,0.15,0.075,0.04,0.08,1,[510109.6763176]
10000000.0,0.15,0.075,0.04,0.1,1,[634749.59791227]
10000000.0,0.15,0.075,0.04,0.12000000000000001,1,[756147.06663358]
10000000.0,0.15,0.075,0.04,0.13999999999999999,1,[871402.83459383]
10000000.0,0.15,0.075,0.04,0.16,1,[974241.1681522]
10000000.0,0.15,0.075,0.04,0.18,1,[1049637.40147939]
10000000.0,0.15,0.075,0.04,0.19999999999999998,1,[1060193.06274028]
10000000.0,0.15,0.075,0.06,0.02,1,[151692.98456763]
10000000.0,0.15,0.075,0.06,0.04,1,[303264.47126661]
10000000.0,0.15,0.075,0.06,0.06,1,[454644.26035424]
10000000.0,0.15,0.075,0.06,0.08,1,[605743.52126295]
10000000.0,0.15,0.075,0.06,0.1,1,[756444.73214167]
10000000.0,0.15,0.075,0.06,0.12000000000000001,1,[906588.23838938]
10000000.0,0.15,0.075,0.06,0.13999999999999999,1,[1055952.63284661]
10000000.0,0.15,0.075,0.06,0.16,1,[1204224.75936884]
10000000.0,0.15,0.075,0.06,0.18,1,[1350952.32488153]
10000000.0,0.15,0.075,0.06,0.19999999999999998,1,[1495466.62158135]
10000000.0,0.15,0.075,0.06,0.22,1,[1636752.08132485]
10000000.0,0.15,0.075,0.06,0.24,1,[1773217.33966964]
10000000.0,0.15,0.075,0.06,0.26,1,[1902275.2140835]
10000000.0,0.15,0.075,0.06,0.28,1,[2019532.46325726]
10000000.0,0.15,0.075,0.06,0.30000000000000004,1,[2117140.0079999]
10000000.0,0.15,0.075,0.06,0.32,1,[2180273.97963558]
10000000.0,0.15,0.075,0.06,0.34,1,[2179836.4390075]
10000000.0,0.15,0.075,0.06,0.36000000000000004,1,[2068467.01562877]
10000000.0,0.15,0.075,0.08,0.02,1,[161852.91905228]
10000000.0,0.15,0.075,0.08,0.04,1,[323634.95344798]
10000000.0,0.15,0.075,0.08,0.06,1,[485313.62743429]
10000000.0,0.15,0.075,0.08,0.08,1,[646851.99441155]
10000000.0,0.15,0.075,0.08,0.1,1,[808205.82683778]
10000000.0,0.15,0.075,0.08,0.12000000000000001,1,[969320.75213447]
