Thu Feb  6 11:14:33 2025    profile_output.prof

         13895108 function calls (13725468 primitive calls) in 10.472 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
   2828/5    0.007    0.000    4.861    0.972 C:\Users\leavi\OneDrive\Dokumente\Uni\Semester 7\NeuMoQP\Programm\.venv\Lib\site-packages\matplotlib\text.py:65(_get_text_metrics_with_cache)
       98    0.379    0.004    4.702    0.048 C:\Users\leavi\OneDrive\Dokumente\Uni\Semester 7\NeuMoQP\Programm\code\simulationsingle.py:106(eam_transmission_single)
        1    0.000    0.000    4.528    4.528 C:\Users\leavi\OneDrive\Dokumente\Uni\Semester 7\NeuMoQP\Programm\code\simulationengine.py:393(initialize)
   603101    0.296    0.000    4.323    0.000 C:\Users\leavi\OneDrive\Dokumente\Uni\Semester 7\NeuMoQP\Programm\code\simulationsingle.py:14(get_interpolated_value_single)
        1    0.000    0.000    3.657    3.657 C:\Users\leavi\OneDrive\Dokumente\Uni\Semester 7\NeuMoQP\Programm\code\simulationsingle.py:163(find_voltage_decoy)
        3    0.001    0.000    3.657    1.219 C:\Users\leavi\OneDrive\Dokumente\Uni\Semester 7\NeuMoQP\Programm\code\simulationsingle.py:141(_set_voltage)
   603101    0.325    0.000    3.346    0.000 C:\Users\leavi\OneDrive\Dokumente\Uni\Semester 7\NeuMoQP\Programm\.venv\Lib\site-packages\scipy\interpolate\_fitpack_py.py:308(splev)
   603101    1.747    0.000    2.951    0.000 C:\Users\leavi\OneDrive\Dokumente\Uni\Semester 7\NeuMoQP\Programm\.venv\Lib\site-packages\scipy\interpolate\_fitpack_impl.py:302(splev)
        6    0.000    0.000    1.678    0.280 C:\Users\leavi\OneDrive\Dokumente\Uni\Semester 7\NeuMoQP\Programm\.venv\Lib\site-packages\matplotlib\image.py:1508(imsave)
        6    0.000    0.000    1.677    0.280 C:\Users\leavi\OneDrive\Dokumente\Uni\Semester 7\NeuMoQP\Programm\.venv\Lib\site-packages\PIL\Image.py:2509(save)
        6    0.000    0.000    1.590    0.265 C:\Users\leavi\OneDrive\Dokumente\Uni\Semester 7\NeuMoQP\Programm\.venv\Lib\site-packages\PIL\PngImagePlugin.py:1300(_save)
        6    0.000    0.000    1.589    0.265 C:\Users\leavi\OneDrive\Dokumente\Uni\Semester 7\NeuMoQP\Programm\.venv\Lib\site-packages\PIL\ImageFile.py:535(_save)
        6    0.000    0.000    1.589    0.265 C:\Users\leavi\OneDrive\Dokumente\Uni\Semester 7\NeuMoQP\Programm\.venv\Lib\site-packages\PIL\ImageFile.py:563(_encode_tile)
       78    1.576    0.020    1.576    0.020 {method 'encode' of 'ImagingEncoder' objects}
      306    0.030    0.000    1.510    0.005 C:\Users\leavi\OneDrive\Dokumente\Uni\Semester 7\NeuMoQP\Programm\.venv\Lib\site-packages\matplotlib\axis.py:1287(_update_ticks)
        1    0.000    0.000    0.844    0.844 C:\Users\leavi\OneDrive\Dokumente\Uni\Semester 7\NeuMoQP\Programm\code\simulationsingle.py:121(find_T1)
      306    0.002    0.000    0.709    0.002 C:\Users\leavi\OneDrive\Dokumente\Uni\Semester 7\NeuMoQP\Programm\.venv\Lib\site-packages\matplotlib\axis.py:1681(get_minor_ticks)
   603109    0.366    0.000    0.686    0.000 C:\Users\leavi\OneDrive\Dokumente\Uni\Semester 7\NeuMoQP\Programm\.venv\Lib\site-packages\numpy\_core\shape_base.py:21(atleast_1d)
   603101    0.408    0.000    0.681    0.000 C:\Users\leavi\OneDrive\Dokumente\Uni\Semester 7\NeuMoQP\Programm\code\datamanager.py:58(get_data)
      607    0.002    0.000    0.663    0.001 C:\Users\leavi\OneDrive\Dokumente\Uni\Semester 7\NeuMoQP\Programm\.venv\Lib\site-packages\matplotlib\axis.py:1596(_get_tick)
      607    0.019    0.000    0.510    0.001 C:\Users\leavi\OneDrive\Dokumente\Uni\Semester 7\NeuMoQP\Programm\.venv\Lib\site-packages\matplotlib\axis.py:59(__init__)
        6    0.000    0.000    0.444    0.074 C:\Users\leavi\OneDrive\Dokumente\Uni\Semester 7\NeuMoQP\Programm\.venv\Lib\site-packages\matplotlib\pyplot.py:1620(subplots)
      374    0.004    0.000    0.426    0.001 C:\Users\leavi\OneDrive\Dokumente\Uni\Semester 7\NeuMoQP\Programm\.venv\Lib\site-packages\matplotlib\axis.py:428(__init__)
        6    0.000    0.000    0.376    0.063 C:\Users\leavi\OneDrive\Dokumente\Uni\Semester 7\NeuMoQP\Programm\.venv\Lib\site-packages\matplotlib\pyplot.py:872(figure)
        6    0.000    0.000    0.375    0.063 C:\Users\leavi\OneDrive\Dokumente\Uni\Semester 7\NeuMoQP\Programm\.venv\Lib\site-packages\matplotlib\pyplot.py:549(new_figure_manager)
  1224666    0.370    0.000    0.370    0.000 {method 'reshape' of 'numpy.ndarray' objects}
        6    0.000    0.000    0.352    0.059 C:\Users\leavi\OneDrive\Dokumente\Uni\Semester 7\NeuMoQP\Programm\.venv\Lib\site-packages\matplotlib\backend_bases.py:3494(new_figure_manager)
        6    0.000    0.000    0.346    0.058 C:\Users\leavi\OneDrive\Dokumente\Uni\Semester 7\NeuMoQP\Programm\.venv\Lib\site-packages\matplotlib\backend_bases.py:3503(new_figure_manager_given_figure)
        6    0.000    0.000    0.346    0.058 C:\Users\leavi\OneDrive\Dokumente\Uni\Semester 7\NeuMoQP\Programm\.venv\Lib\site-packages\matplotlib\backend_bases.py:1772(new_manager)
        6    0.000    0.000    0.346    0.058 C:\Users\leavi\OneDrive\Dokumente\Uni\Semester 7\NeuMoQP\Programm\.venv\Lib\site-packages\matplotlib\backends\_backend_tk.py:500(create_with_canvas)
      559    0.002    0.000    0.305    0.001 C:\Users\leavi\OneDrive\Dokumente\Uni\Semester 7\NeuMoQP\Programm\.venv\Lib\site-packages\matplotlib\axis.py:1617(_copy_tick_props)
     4730    0.004    0.000    0.300    0.000 C:\Users\leavi\OneDrive\Dokumente\Uni\Semester 7\NeuMoQP\Programm\.venv\Lib\site-packages\matplotlib\markers.py:220(__init__)
1985123/1985095    0.232    0.000    0.292    0.000 {built-in method builtins.isinstance}
     4730    0.012    0.000    0.284    0.000 C:\Users\leavi\OneDrive\Dokumente\Uni\Semester 7\NeuMoQP\Programm\.venv\Lib\site-packages\matplotlib\markers.py:299(_set_marker)
        6    0.000    0.000    0.278    0.046 C:\Users\leavi\OneDrive\Dokumente\Uni\Semester 7\NeuMoQP\Programm\code\simulationmanager.py:62(process_state)
      138    0.004    0.000    0.273    0.002 C:\Users\leavi\OneDrive\Dokumente\Uni\Semester 7\NeuMoQP\Programm\.venv\Lib\site-packages\matplotlib\spines.py:142(get_window_extent)
     1677    0.004    0.000    0.272    0.000 C:\Users\leavi\OneDrive\Dokumente\Uni\Semester 7\NeuMoQP\Programm\.venv\Lib\site-packages\matplotlib\lines.py:1338(update_from)
     1839    0.030    0.000    0.253    0.000 C:\Users\leavi\OneDrive\Dokumente\Uni\Semester 7\NeuMoQP\Programm\.venv\Lib\site-packages\matplotlib\lines.py:287(__init__)
     3300    0.107    0.000    0.249    0.000 C:\Users\leavi\OneDrive\Dokumente\Uni\Semester 7\NeuMoQP\Programm\.venv\Lib\site-packages\matplotlib\lines.py:744(draw)
97825/1677    0.105    0.000    0.239    0.000 C:\Users\leavi\AppData\Local\Programs\Python\Python313\Lib\copy.py:119(deepcopy)
      233    0.002    0.000    0.235    0.001 C:\Users\leavi\OneDrive\Dokumente\Uni\Semester 7\NeuMoQP\Programm\.venv\Lib\site-packages\matplotlib\axis.py:367(__init__)
6708/1677    0.028    0.000    0.234    0.000 C:\Users\leavi\AppData\Local\Programs\Python\Python313\Lib\copy.py:218(_deepcopy_dict)
     7898    0.045    0.000    0.227    0.000 C:\Users\leavi\OneDrive\Dokumente\Uni\Semester 7\NeuMoQP\Programm\.venv\Lib\site-packages\matplotlib\artist.py:1188(_update_props)
      918    0.002    0.000    0.226    0.000 C:\Users\leavi\OneDrive\Dokumente\Uni\Semester 7\NeuMoQP\Programm\.venv\Lib\site-packages\matplotlib\ticker.py:2226(__call__)
        6    0.000    0.000    0.212    0.035 C:\Users\leavi\AppData\Local\Programs\Python\Python313\Lib\tkinter\__init__.py:2439(__init__)
      306    0.001    0.000    0.212    0.001 C:\Users\leavi\OneDrive\Dokumente\Uni\Semester 7\NeuMoQP\Programm\.venv\Lib\site-packages\matplotlib\axis.py:1655(get_major_ticks)
        6    0.210    0.035    0.210    0.035 {built-in method _tkinter.create}
      306    0.005    0.000    0.200    0.001 C:\Users\leavi\OneDrive\Dokumente\Uni\Semester 7\NeuMoQP\Programm\.venv\Lib\site-packages\matplotlib\axis.py:1538(get_minorticklocs)
