Thu Jan  9 12:49:03 2025    profile_output.prof

         55144552 function calls (55143942 primitive calls) in 37.341 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.010    0.010   37.324   37.324 C:\Users\leavi\OneDrive\Dokumente\Uni\Semester 7\NeuMoQP\Programm\code\simulationmanager.py:316(run_simulation_after_detector)
      595    3.480    0.006   36.567    0.061 C:\Users\leavi\OneDrive\Dokumente\Uni\Semester 7\NeuMoQP\Programm\code\simulationengine.py:128(eam_transmission_1_mean_photon_number)
  3663136    2.385    0.000   33.067    0.000 C:\Users\leavi\OneDrive\Dokumente\Uni\Semester 7\NeuMoQP\Programm\code\simulationengine.py:13(get_interpolated_value)
  3663136    2.629    0.000   27.748    0.000 C:\Users\leavi\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.11_qbz5n2kfra8p0\LocalCache\local-packages\Python311\site-packages\scipy\interpolate\_fitpack_py.py:299(splev)
  3663136   14.662    0.000   24.607    0.000 C:\Users\leavi\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.11_qbz5n2kfra8p0\LocalCache\local-packages\Python311\site-packages\scipy\interpolate\_fitpack_impl.py:302(splev)
  3663144    4.030    0.000    6.412    0.000 C:\Users\leavi\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.11_qbz5n2kfra8p0\LocalCache\local-packages\Python311\site-packages\numpy\core\shape_base.py:23(atleast_1d)
        1    0.000    0.000    4.173    4.173 C:\Users\leavi\OneDrive\Dokumente\Uni\Semester 7\NeuMoQP\Programm\code\simulationengine.py:383(initialize)
        1    0.000    0.000    3.435    3.435 C:\Users\leavi\OneDrive\Dokumente\Uni\Semester 7\NeuMoQP\Programm\code\simulationengine.py:347(find_voltage_decoy)
        3    0.001    0.000    3.435    1.145 C:\Users\leavi\OneDrive\Dokumente\Uni\Semester 7\NeuMoQP\Programm\code\simulationengine.py:322(_set_voltage)
  3664231    2.343    0.000    2.936    0.000 C:\Users\leavi\OneDrive\Dokumente\Uni\Semester 7\NeuMoQP\Programm\code\datamanager.py:53(get_data)
  7326885    2.301    0.000    2.301    0.000 {method 'reshape' of 'numpy.ndarray' objects}
3666061/3666049    1.303    0.000    1.303    0.000 {built-in method numpy.asarray}
        1    0.000    0.000    0.736    0.736 C:\Users\leavi\OneDrive\Dokumente\Uni\Semester 7\NeuMoQP\Programm\code\simulationengine.py:302(find_T1)
  3665136    0.706    0.000    0.706    0.000 {method 'ravel' of 'numpy.ndarray' objects}
  3664485    0.594    0.000    0.594    0.000 {method 'startswith' of 'str' objects}
3673505/3673477    0.514    0.000    0.518    0.000 {built-in method builtins.isinstance}
  3664875    0.482    0.000    0.482    0.000 {method 'append' of 'list' objects}
