Mon Jan 13 11:07:58 2025    profile_output.prof

         8802084 function calls (8801476 primitive calls) in 4.528 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    4.506    4.506 C:\Users\leavi\OneDrive\Dokumente\Uni\Semester 7\NeuMoQP\Programm\code\simulationmanager.py:330(run_simulation_initialize)
        1    0.000    0.000    4.506    4.506 C:\Users\leavi\OneDrive\Dokumente\Uni\Semester 7\NeuMoQP\Programm\code\simulationengine.py:389(initialize)
       95    0.386    0.004    4.436    0.047 C:\Users\leavi\OneDrive\Dokumente\Uni\Semester 7\NeuMoQP\Programm\code\simulationengine.py:138(eam_transmission_1_mean_photon_number)
   584636    0.297    0.000    4.043    0.000 C:\Users\leavi\OneDrive\Dokumente\Uni\Semester 7\NeuMoQP\Programm\code\simulationengine.py:12(get_interpolated_value)
        1    0.000    0.000    3.638    3.638 C:\Users\leavi\OneDrive\Dokumente\Uni\Semester 7\NeuMoQP\Programm\code\simulationengine.py:353(find_voltage_decoy)
        3    0.001    0.000    3.637    1.212 C:\Users\leavi\OneDrive\Dokumente\Uni\Semester 7\NeuMoQP\Programm\code\simulationengine.py:328(_set_voltage)
   584636    0.320    0.000    3.378    0.000 C:\Users\leavi\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.11_qbz5n2kfra8p0\LocalCache\local-packages\Python311\site-packages\scipy\interpolate\_fitpack_py.py:299(splev)
   584636    1.756    0.000    3.000    0.000 C:\Users\leavi\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.11_qbz5n2kfra8p0\LocalCache\local-packages\Python311\site-packages\scipy\interpolate\_fitpack_impl.py:302(splev)
        1    0.000    0.000    0.865    0.865 C:\Users\leavi\OneDrive\Dokumente\Uni\Semester 7\NeuMoQP\Programm\code\simulationengine.py:308(find_T1)
   584644    0.523    0.000    0.836    0.000 C:\Users\leavi\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.11_qbz5n2kfra8p0\LocalCache\local-packages\Python311\site-packages\numpy\core\shape_base.py:23(atleast_1d)
   584636    0.302    0.000    0.369    0.000 C:\Users\leavi\OneDrive\Dokumente\Uni\Semester 7\NeuMoQP\Programm\code\datamanager.py:58(get_data)
  1169385    0.284    0.000    0.284    0.000 {method 'reshape' of 'numpy.ndarray' objects}
585061/585049    0.138    0.000    0.138    0.000 {built-in method numpy.asarray}
1174141/1174113    0.125    0.000    0.126    0.000 {built-in method builtins.isinstance}
   584636    0.089    0.000    0.089    0.000 {method 'ravel' of 'numpy.ndarray' objects}
       95    0.001    0.000    0.064    0.001 C:\Users\leavi\OneDrive\Dokumente\Uni\Semester 7\NeuMoQP\Programm\code\simulationengine.py:116(signal_bandwidth_jitter)
   584875    0.059    0.000    0.059    0.000 {method 'append' of 'list' objects}
586947/586587    0.054    0.000    0.054    0.000 {built-in method builtins.len}
   584644    0.052    0.000    0.052    0.000 C:\Users\leavi\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.11_qbz5n2kfra8p0\LocalCache\local-packages\Python311\site-packages\numpy\core\shape_base.py:19(_atleast_1d_dispatcher)
       95    0.004    0.000    0.049    0.001 C:\Users\leavi\OneDrive\Dokumente\Uni\Semester 7\NeuMoQP\Programm\code\simulationengine.py:88(apply_bandwidth_filter)
   584933    0.047    0.000    0.048    0.000 {built-in method numpy.asanyarray}
      190    0.001    0.000    0.039    0.000 C:\Users\leavi\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.11_qbz5n2kfra8p0\LocalCache\local-packages\Python311\site-packages\scipy\fft\_pocketfft\basic.py:11(c2c)
      190    0.036    0.000    0.036    0.000 {built-in method scipy.fft._pocketfft.pypocketfft.c2c}
       95    0.000    0.000    0.025    0.000 C:\Users\leavi\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.11_qbz5n2kfra8p0\LocalCache\local-packages\Python311\site-packages\scipy\fftpack\_basic.py:91(ifft)
        4    0.000    0.000    0.021    0.005 C:\Users\leavi\OneDrive\Dokumente\Uni\Semester 7\NeuMoQP\Programm\code\datamanager.py:10(add_data)
       95    0.000    0.000    0.015    0.000 C:\Users\leavi\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.11_qbz5n2kfra8p0\LocalCache\local-packages\Python311\site-packages\scipy\fftpack\_basic.py:12(fft)
        4    0.000    0.000    0.008    0.002 C:\Users\leavi\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.11_qbz5n2kfra8p0\LocalCache\local-packages\Python311\site-packages\pandas\io\parsers\readers.py:868(read_csv)
        4    0.000    0.000    0.008    0.002 C:\Users\leavi\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.11_qbz5n2kfra8p0\LocalCache\local-packages\Python311\site-packages\pandas\io\parsers\readers.py:583(_read)
       95    0.001    0.000    0.008    0.000 C:\Users\leavi\OneDrive\Dokumente\Uni\Semester 7\NeuMoQP\Programm\code\simulationengine.py:110(apply_jitter)
