length_multiply,mpn_s,mpn_d,desired_p_decoy,desired_p_z_alice,factor_x_mud,factor_total,SKR
10000000.0,0.5,0.35,0.02,0.02,1,1,[119019.30458969]
10000000.0,0.5,0.35,0.02,0.04,1,1,[237172.22013044]
10000000.0,0.5,0.35,0.02,0.06,1,1,[352304.99336342]
10000000.0,0.5,0.35,0.02,0.08,1,1,[454767.59083625]
10000000.0,0.5,0.35,0.04,0.02,1,1,[170403.570316]
10000000.0,0.5,0.35,0.04,0.04,1,1,[340652.87299683]
10000000.0,0.5,0.35,0.04,0.06,1,1,[510661.10468756]
10000000.0,0.5,0.35,0.04,0.08,1,1,[680303.05205421]
10000000.0,0.5,0.35,0.04,0.1,1,1,[849394.29535256]
10000000.0,0.5,0.35,0.04,0.12000000000000001,1,1,[1017655.26974254]
10000000.0,0.5,0.35,0.04,0.13999999999999999,1,1,[1184649.13908655]
10000000.0,0.5,0.35,0.04,0.16,1,1,[1349669.36889578]
10000000.0,0.5,0.35,0.04,0.18,1,1,[1511525.7159159]
10000000.0,0.5,0.35,0.04,0.19999999999999998,1,1,[1668112.69324631]
10000000.0,0.5,0.35,0.04,0.22,1,1,[1815481.77960684]
10000000.0,0.5,0.35,0.04,0.24,1,1,[1945722.85583129]
10000000.0,0.5,0.35,0.04,0.26,1,1,[2042208.95404474]
10000000.0,0.5,0.35,0.04,0.28,1,1,[2079400.01541262]
10000000.0,0.5,0.35,0.06,0.02,1,1,[185668.48861962]
10000000.0,0.5,0.35,0.06,0.04,1,1,[371257.71156703]
10000000.0,0.5,0.35,0.06,0.06,1,1,[556742.5270698]
10000000.0,0.5,0.35,0.06,0.08,1,1,[742091.29742282]
10000000.0,0.5,0.35,0.06,0.1,1,1,[927264.65250517]
10000000.0,0.5,0.35,0.06,0.12000000000000001,1,1,[1112212.89255049]
10000000.0,0.5,0.35,0.06,0.13999999999999999,1,1,[1296872.47290326]
10000000.0,0.5,0.35,0.06,0.16,1,1,[1481161.15708004]
10000000.0,0.5,0.35,0.06,0.18,1,1,[1664971.19807567]
10000000.0,0.5,0.35,0.06,0.19999999999999998,1,1,[1848159.56235048]
10000000.0,0.5,0.35,0.06,0.22,1,1,[2030533.6388715]
10000000.0,0.5,0.35,0.06,0.24,1,1,[2211829.90640441]
10000000.0,0.5,0.35,0.06,0.26,1,1,[2391681.34649522]
10000000.0,0.5,0.35,0.06,0.28,1,1,[2569566.3670254]
10000000.0,0.5,0.35,0.06,0.30000000000000004,1,1,[2744726.39455699]
10000000.0,0.5,0.35,0.06,0.32,1,1,[2916028.49697261]
10000000.0,0.5,0.35,0.06,0.34,1,1,[3081727.748352]
10000000.0,0.5,0.35,0.06,0.36000000000000004,1,1,[3239038.78747485]
10000000.0,0.5,0.35,0.06,0.38,1,1,[3383327.84613736]
10000000.0,0.5,0.35,0.06,0.4,1,1,[3506521.42373435]
10000000.0,0.5,0.35,0.06,0.42000000000000004,1,1,[3593911.94551862]
10000000.0,0.5,0.35,0.06,0.44,1,1,[3618622.76031372]
10000000.0,0.5,0.35,0.06,0.46,1,1,[3551004.30273182]
10000000.0,0.5,0.35,0.08,0.02,1,1,[191917.64939404]
10000000.0,0.5,0.35,0.08,0.04,1,1,[383781.88571145]
10000000.0,0.5,0.35,0.08,0.06,1,1,[575581.31198838]
10000000.0,0.5,0.35,0.08,0.08,1,1,[767301.77109625]
10000000.0,0.5,0.35,0.08,0.1,1,1,[958926.5177482]
10000000.0,0.5,0.35,0.08,0.12000000000000001,1,1,[1150435.60434558]
10000000.0,0.5,0.35,0.08,0.13999999999999999,1,1,[1341805.07295855]
10000000.0,0.5,0.35,0.08,0.16,1,1,[1533005.92218243]
10000000.0,0.5,0.35,0.08,0.18,1,1,[1724002.7741502]
10000000.0,0.5,0.35,0.08,0.19999999999999998,1,1,[1914752.13461018]
10000000.0,0.5,0.35,0.08,0.22,1,1,[2105200.09519063]
10000000.0,0.5,0.35,0.08,0.24,1,1,[2295279.26266648]
10000000.0,0.5,0.35,0.08,0.26,1,1,[2484904.60355473]
