length_multiply,mpn_s,mpn_d,desired_p_decoy,desired_p_z_alice,factor_x_mud,SKR
10000000.0,0.15,0.075,0.13999999999999999,0.02,2,[837.44534357]
10000000.0,0.15,0.075,0.13999999999999999,0.04,2,[1249.77900795]
10000000.0,0.15,0.075,0.13999999999999999,0.06,2,[1236.40836044]
10000000.0,0.15,0.075,0.13999999999999999,0.08,2,[768.2833047]
10000000.0,0.15,0.075,0.16,0.02,2,[1466.813108]
10000000.0,0.15,0.075,0.16,0.04,2,[2547.47389637]
10000000.0,0.15,0.075,0.16,0.06,2,[3252.48734102]
10000000.0,0.15,0.075,0.16,0.08,2,[3565.67420561]
10000000.0,0.15,0.075,0.16,0.1,2,[3458.15391798]
10000000.0,0.15,0.075,0.16,0.12000000000000001,2,[2891.28402257]
10000000.0,0.15,0.075,0.16,0.13999999999999999,2,[1817.10325083]
10000000.0,0.15,0.075,0.16,0.16,2,[177.71039143]
10000000.0,0.15,0.075,0.18,0.02,2,[1574.96785138]
10000000.0,0.15,0.075,0.18,0.04,2,[2793.39139724]
10000000.0,0.15,0.075,0.18,0.06,2,[3672.73554321]
10000000.0,0.15,0.075,0.18,0.08,2,[4204.88991484]
10000000.0,0.15,0.075,0.18,0.1,2,[4370.34454743]
10000000.0,0.15,0.075,0.18,0.12000000000000001,2,[4141.4829232]
10000000.0,0.15,0.075,0.18,0.13999999999999999,2,[3483.43188447]
10000000.0,0.15,0.075,0.18,0.16,2,[2353.93464008]
10000000.0,0.15,0.075,0.18,0.18,2,[702.66881093]
10000000.0,0.15,0.075,0.19999999999999998,0.02,2,[1319.3088672]
10000000.0,0.15,0.075,0.19999999999999998,0.04,2,[2305.59627627]
10000000.0,0.15,0.075,0.19999999999999998,0.06,2,[2980.89971973]
10000000.0,0.15,0.075,0.19999999999999998,0.08,2,[3342.48355764]
10000000.0,0.15,0.075,0.19999999999999998,0.1,2,[3377.04225807]
10000000.0,0.15,0.075,0.19999999999999998,0.12000000000000001,2,[3064.1848724]
10000000.0,0.15,0.075,0.19999999999999998,0.13999999999999999,2,[2377.51187667]
10000000.0,0.15,0.075,0.19999999999999998,0.16,2,[1284.76344482]
10000000.0,0.15,0.075,0.22,0.02,2,[800.00461721]
10000000.0,0.15,0.075,0.22,0.04,2,[1286.33419304]
10000000.0,0.15,0.075,0.22,0.06,2,[1484.1205396]
10000000.0,0.15,0.075,0.22,0.08,2,[1394.36921708]
10000000.0,0.15,0.075,0.22,0.1,2,[1008.09650752]
10000000.0,0.15,0.075,0.22,0.12000000000000001,2,[309.91744998]
10000000.0,0.15,0.075,0.24,0.02,2,[83.8515981]
10000000.0,0.15,0.075,0.13999999999999999,0.02,3,[1300.34315062]
10000000.0,0.15,0.075,0.13999999999999999,0.04,3,[2564.54707736]
10000000.0,0.15,0.075,0.13999999999999999,0.06,3,[3794.41736022]
10000000.0,0.15,0.075,0.13999999999999999,0.08,3,[4989.79016352]
10000000.0,0.15,0.075,0.13999999999999999,0.1,3,[6149.77129976]
10000000.0,0.15,0.075,0.13999999999999999,0.12000000000000001,3,[7272.9641759]
10000000.0,0.15,0.075,0.13999999999999999,0.13999999999999999,3,[8357.55172953]
10000000.0,0.15,0.075,0.13999999999999999,0.16,3,[9401.32343638]
10000000.0,0.15,0.075,0.13999999999999999,0.18,3,[10401.67346456]
10000000.0,0.15,0.075,0.13999999999999999,0.19999999999999998,3,[11355.57980626]
10000000.0,0.15,0.075,0.13999999999999999,0.22,3,[12259.5682902]
