length_multiply,mpn_s,mpn_d,desired_p_decoy,desired_p_z_alice,factor_x_mud,factor_total,SKR
10000000.0,0.25,0.175,0.06,0.02,1,1,[180469.1335726]
10000000.0,0.25,0.175,0.06,0.04,1,1,[363954.67598809]
10000000.0,0.25,0.175,0.08,0.02,1,1,[186964.74384724]
10000000.0,0.25,0.175,0.08,0.04,1,1,[372090.38011285]
10000000.0,0.25,0.175,0.08,0.06,1,1,[559306.91809247]
10000000.0,0.25,0.175,0.1,0.02,1,1,[190012.75363219]
10000000.0,0.25,0.175,0.1,0.04,1,1,[377842.28791774]
10000000.0,0.25,0.175,0.1,0.06,1,1,[564617.97059561]
10000000.0,0.25,0.175,0.1,0.08,1,1,[752569.2478182]
10000000.0,0.25,0.175,0.1,0.1,1,1,[950028.12055034]
10000000.0,0.25,0.175,0.12000000000000001,0.02,1,1,[191286.3133187]
10000000.0,0.25,0.175,0.12000000000000001,0.04,1,1,[380398.86610976]
10000000.0,0.25,0.175,0.12000000000000001,0.06,1,1,[567976.16151949]
10000000.0,0.25,0.175,0.12000000000000001,0.08,1,1,[754764.06759595]
10000000.0,0.25,0.175,0.12000000000000001,0.1,1,1,[942099.84002929]
10000000.0,0.25,0.175,0.12000000000000001,0.12000000000000001,1,1,[1133075.36636024]
10000000.0,0.25,0.175,0.12000000000000001,0.13999999999999999,1,1,[1340851.04314829]
10000000.0,0.25,0.175,0.13999999999999999,0.02,1,1,[191536.8875133]
10000000.0,0.25,0.175,0.13999999999999999,0.04,1,1,[380971.53969187]
10000000.0,0.25,0.175,0.13999999999999999,0.06,1,1,[568785.09044619]
10000000.0,0.25,0.175,0.13999999999999999,0.08,1,1,[755370.72742452]
10000000.0,0.25,0.175,0.13999999999999999,0.1,1,1,[941248.56828971]
10000000.0,0.25,0.175,0.13999999999999999,0.12000000000000001,1,1,[1127272.91639141]
10000000.0,0.25,0.175,0.13999999999999999,0.13999999999999999,1,1,[1315057.80216908]
10000000.0,0.25,0.175,0.13999999999999999,0.16,1,1,[1508304.12346387]
10000000.0,0.25,0.175,0.13999999999999999,0.18,1,1,[1722322.4675252]
10000000.0,0.25,0.175,0.16,0.02,1,1,[191145.97411514]
10000000.0,0.25,0.175,0.16,0.04,1,1,[380269.60163457]
10000000.0,0.25,0.175,0.16,0.06,1,1,[567785.89728999]
10000000.0,0.25,0.175,0.16,0.08,1,1,[753960.87425176]
10000000.0,0.25,0.175,0.16,0.1,1,1,[939071.44476948]
10000000.0,0.25,0.175,0.16,0.12000000000000001,1,1,[1123491.51393427]
10000000.0,0.25,0.175,0.16,0.13999999999999999,1,1,[1307798.9742422]
10000000.0,0.25,0.175,0.16,0.16,1,1,[1492970.45666188]
10000000.0,0.25,0.175,0.16,0.18,1,1,[1680830.4703864]
10000000.0,0.25,0.175,0.16,0.19999999999999998,1,1,[1875451.6354847]
10000000.0,0.25,0.175,0.16,0.22,1,1,[2092071.63016209]
10000000.0,0.25,0.175,0.18,0.02,1,1,[190327.01285205]
10000000.0,0.25,0.175,0.18,0.04,1,1,[378707.75681506]
10000000.0,0.25,0.175,0.18,0.06,1,1,[565523.94169425]
10000000.0,0.25,0.175,0.18,0.08,1,1,[750984.94187943]
10000000.0,0.25,0.175,0.18,0.1,1,1,[935269.98886429]
10000000.0,0.25,0.175,0.18,0.12000000000000001,1,1,[1118583.4707]
10000000.0,0.25,0.175,0.18,0.13999999999999999,1,1,[1301201.55821432]
10000000.0,0.25,0.175,0.18,0.16,1,1,[1483534.23976353]
10000000.0,0.25,0.175,0.18,0.18,1,1,[1666229.37762679]
10000000.0,0.25,0.175,0.18,0.19999999999999998,1,1,[1850376.26055825]
10000000.0,0.25,0.175,0.18,0.22,1,1,[2037977.8365001]
10000000.0,0.25,0.175,0.18,0.24,1,1,[2233386.70631767]
10000000.0,0.25,0.175,0.18,0.26,1,1,[2451434.79555425]
10000000.0,0.25,0.175,0.19999999999999998,0.02,1,1,[189208.56963829]
10000000.0,0.25,0.175,0.19999999999999998,0.04,1,1,[376540.73125714]
10000000.0,0.25,0.175,0.19999999999999998,0.06,1,1,[562358.77568254]
10000000.0,0.25,0.175,0.19999999999999998,0.08,1,1,[746843.09268612]
10000000.0,0.25,0.175,0.19999999999999998,0.1,1,1,[930126.55892313]
10000000.0,0.25,0.175,0.19999999999999998,0.12000000000000001,1,1,[1112338.86395984]
10000000.0,0.25,0.175,0.19999999999999998,0.13999999999999999,1,1,[1293634.79495106]
10000000.0,0.25,0.175,0.19999999999999998,0.16,1,1,[1474223.18939605]
10000000.0,0.25,0.175,0.19999999999999998,0.18,1,1,[1654406.29326668]
10000000.0,0.25,0.175,0.19999999999999998,0.19999999999999998,1,1,[1834642.22030994]
10000000.0,0.25,0.175,0.19999999999999998,0.22,1,1,[2015655.39458069]
10000000.0,0.25,0.175,0.19999999999999998,0.24,1,1,[2198655.06919605]
10000000.0,0.25,0.175,0.19999999999999998,0.26,1,1,[2385839.7941713]
10000000.0,0.25,0.175,0.19999999999999998,0.28,1,1,[2581900.59593925]
10000000.0,0.25,0.175,0.19999999999999998,0.30000000000000004,1,1,[2801901.47958356]
10000000.0,0.25,0.175,0.22,0.02,1,1,[187872.66125342]
10000000.0,0.25,0.175,0.22,0.04,1,1,[373932.7173971]
10000000.0,0.25,0.175,0.22,0.06,1,1,[558529.58850125]
10000000.0,0.25,0.175,0.22,0.08,1,1,[741827.17046949]
10000000.0,0.25,0.175,0.22,0.1,1,1,[923933.75063991]
10000000.0,0.25,0.175,0.22,0.12000000000000001,1,1,[1104941.43292869]
10000000.0,0.25,0.175,0.22,0.13999999999999999,1,1,[1284947.18639554]
10000000.0,0.25,0.175,0.22,0.16,1,1,[1464070.1793831]
10000000.0,0.25,0.175,0.22,0.18,1,1,[1642471.40805731]
10000000.0,0.25,0.175,0.22,0.19999999999999998,1,1,[1820380.56257304]
10000000.0,0.25,0.175,0.22,0.22,1,1,[1998137.07978836]
10000000.0,0.25,0.175,0.22,0.24,1,1,[2176258.12048626]
10000000.0,0.25,0.175,0.22,0.26,1,1,[2355560.59944382]
10000000.0,0.25,0.175,0.22,0.28,1,1,[2537403.86801322]
10000000.0,0.25,0.175,0.22,0.30000000000000004,1,1,[2724250.22275171]
10000000.0,0.25,0.175,0.22,0.32,1,1,[2921327.24105308]
10000000.0,0.25,0.175,0.22,0.34,1,1,[3145139.60833714]
10000000.0,0.25,0.175,0.24,0.02,1,1,[186374.05964066]
10000000.0,0.25,0.175,0.24,0.04,1,1,[370994.04203379]
10000000.0,0.25,0.175,0.24,0.06,1,1,[554199.82636682]
10000000.0,0.25,0.175,0.24,0.08,1,1,[736145.03451569]
10000000.0,0.25,0.175,0.24,0.1,1,1,[916923.77722545]
10000000.0,0.25,0.175,0.24,0.12000000000000001,1,1,[1096607.45994341]
10000000.0,0.25,0.175,0.24,0.13999999999999999,1,1,[1275262.42314807]
