length_multiply,mpn_s,mpn_d,desired_p_decoy,desired_p_z_alice,factor_x_mud,factor_total,SKR
10000000.0,0.15,0.075,0.06,0.02,1,5,[7.01068676e-08]
10000000.0,0.15,0.075,0.06,0.04,1,5,[3.3962223e-07]
10000000.0,0.15,0.075,0.06,0.19999999999999998,1,5,[6.36850175e-07]
10000000.0,0.15,0.075,0.06,0.22,1,5,[8.41076996e-07]
10000000.0,0.15,0.075,0.06,0.32,1,5,[2.20882911e-06]
10000000.0,0.15,0.075,0.06,0.34,1,5,[4.85517518e-06]
10000000.0,0.15,0.075,0.06,0.4,1,5,[1.61847818e-06]
10000000.0,0.15,0.075,0.06,0.44,1,5,[1.51950621e-06]
10000000.0,0.15,0.075,0.06,0.46,1,5,[3.30575889e-06]
10000000.0,0.15,0.075,0.06,0.48000000000000004,1,5,[1.15912228e-05]
10000000.0,0.15,0.075,0.06,0.5,1,5,[2.41483454e-06]
10000000.0,0.15,0.075,0.06,0.62,1,5,[5.1521082e-06]
10000000.0,0.15,0.075,0.08,0.04,1,5,[3.549872e-07]
10000000.0,0.15,0.075,0.08,0.08,1,5,[8.20240709e-07]
10000000.0,0.15,0.075,0.08,0.18,1,5,[8.82528506e-07]
10000000.0,0.15,0.075,0.08,0.19999999999999998,1,5,[5.88395828e-07]
10000000.0,0.15,0.075,0.08,0.22,1,5,[6.47534389e-07]
10000000.0,0.15,0.075,0.08,0.24,1,5,[7.0804643e-07]
10000000.0,0.15,0.075,0.08,0.26,1,5,[7.76098935e-07]
10000000.0,0.15,0.075,0.08,0.28,1,5,[8.88199861e-07]
10000000.0,0.15,0.075,0.08,0.30000000000000004,1,5,[1.38621055e-06]
10000000.0,0.15,0.075,0.08,0.46,1,5,[1.39315193e-05]
10000000.0,0.15,0.075,0.08,0.48000000000000004,1,5,[2.90743902e-06]
10000000.0,0.15,0.075,0.08,0.5,1,5,[3.43533147e-06]
10000000.0,0.15,0.075,0.08,0.52,1,5,[1.08770313e-05]
10000000.0,0.15,0.075,0.08,0.54,1,5,[2.25906887e-06]
10000000.0,0.15,0.075,0.1,0.04,1,5,[3.63968626e-07]
10000000.0,0.15,0.075,0.1,0.13999999999999999,1,5,[4.24879288e-07]
10000000.0,0.15,0.075,0.1,0.16,1,5,[6.2604308e-07]
10000000.0,0.15,0.075,0.1,0.19999999999999998,1,5,[1.59346035e-06]
10000000.0,0.15,0.075,0.1,0.38,1,5,[7.71266942e-06]
10000000.0,0.15,0.075,0.1,0.4,1,5,[1.62371268e-06]
10000000.0,0.15,0.075,0.1,0.46,1,5,[2.72327845e-06]
10000000.0,0.15,0.075,0.1,0.48000000000000004,1,5,[3.23135029e-06]
10000000.0,0.15,0.075,0.1,0.5,1,5,[1.07081423e-05]
10000000.0,0.15,0.075,0.1,0.52,1,5,[2.22726833e-06]
10000000.0,0.15,0.075,0.12000000000000001,0.04,1,5,[7.37771389e-07]
10000000.0,0.15,0.075,0.12000000000000001,0.06,1,5,[2.21329767e-07]
10000000.0,0.15,0.075,0.12000000000000001,0.16,1,5,[6.33535841e-07]
10000000.0,0.15,0.075,0.12000000000000001,0.24,1,5,[1.23202093e-06]
10000000.0,0.15,0.075,0.12000000000000001,0.26,1,5,[9.73606641e-07]
10000000.0,0.15,0.075,0.12000000000000001,0.30000000000000004,1,5,[9.56886233e-07]
10000000.0,0.15,0.075,0.12000000000000001,0.32,1,5,[2.08280539e-06]
10000000.0,0.15,0.075,0.12000000000000001,0.34,1,5,[5.55391198e-06]
10000000.0,0.15,0.075,0.12000000000000001,0.36000000000000004,1,5,[1.17611584e-06]
10000000.0,0.15,0.075,0.12000000000000001,0.38,1,5,[3.26200803e-06]
10000000.0,0.15,0.075,0.12000000000000001,0.42000000000000004,1,5,[4.97856848e-06]
10000000.0,0.15,0.075,0.13999999999999999,0.08,1,5,[3.17189322e-07]
10000000.0,0.15,0.075,0.13999999999999999,0.13999999999999999,1,5,[1.8682938e-06]
10000000.0,0.15,0.075,0.13999999999999999,0.19999999999999998,1,5,[2.70122215e-06]
10000000.0,0.15,0.075,0.13999999999999999,0.32,1,5,[1.19017028e-06]
10000000.0,0.15,0.075,0.13999999999999999,0.36000000000000004,1,5,[1.25033119e-06]
10000000.0,0.15,0.075,0.13999999999999999,0.38,1,5,[3.85266228e-05]
10000000.0,0.15,0.075,0.13999999999999999,0.4,1,5,[8.11078878e-06]
10000000.0,0.15,0.075,0.13999999999999999,0.42000000000000004,1,5,[1.70324348e-06]
10000000.0,0.15,0.075,0.16,0.02,1,5,[4.71617102e-07]
10000000.0,0.15,0.075,0.16,0.04,1,5,[1.88645159e-07]
