length_multiply,mpn_s,mpn_d,desired_p_decoy,desired_p_z_alice,factor_x_mud,factor_total,SKR
10000000.0,0.125,0.075,0.16,0.04,1,1,[24069.39788383]
10000000.0,0.125,0.075,0.19999999999999998,0.06,1,1,[35413.44314077]
10000000.0,0.125,0.075,0.24,0.08,1,1,[19743.89294027]
10000000.0,0.125,0.075,0.30000000000000004,0.12000000000000001,1,1,[32659.47807294]
10000000.0,0.125,0.075,0.38,0.18,1,1,[40529.36226577]
100000000.0,0.125,0.075,0.06,0.06,1,1,[85568.4357503]
100000000.0,0.125,0.075,0.08,0.1,1,1,[142448.52069181]
100000000.0,0.125,0.075,0.1,0.13999999999999999,1,1,[163722.242806]
100000000.0,0.125,0.075,0.12000000000000001,0.18,1,1,[143434.08656422]
100000000.0,0.125,0.075,0.12000000000000001,0.19999999999999998,1,1,[297156.19757918]
100000000.0,0.125,0.075,0.13999999999999999,0.22,1,1,[80762.76588704]
100000000.0,0.125,0.075,0.13999999999999999,0.24,1,1,[265536.65978001]
100000000.0,0.125,0.075,0.16,0.28,1,1,[206732.2175653]
100000000.0,0.125,0.075,0.16,0.30000000000000004,1,1,[401099.46285928]
100000000.0,0.125,0.075,0.18,0.32,1,1,[127062.7094334]
100000000.0,0.125,0.075,0.18,0.34,1,1,[346368.44028953]
100000000.0,0.125,0.075,0.19999999999999998,0.36000000000000004,1,1,[38972.90965222]
100000000.0,0.125,0.075,0.19999999999999998,0.38,1,1,[289904.05633779]
100000000.0,0.125,0.075,0.19999999999999998,0.4,1,1,[571110.51446157]
100000000.0,0.125,0.075,0.22,0.42000000000000004,1,1,[240675.45077534]
100000000.0,0.125,0.075,0.22,0.44,1,1,[532102.17315468]
100000000.0,0.125,0.075,0.24,0.46,1,1,[211457.48104388]
100000000.0,0.125,0.075,0.24,0.48000000000000004,1,1,[539024.30886967]
100000000.0,0.125,0.075,0.26,0.5,1,1,[215888.35827285]
100000000.0,0.125,0.075,0.26,0.52,1,1,[625825.08880675]
100000000.0,0.125,0.075,0.28,0.54,1,1,[269843.11149815]
100000000.0,0.125,0.075,0.30000000000000004,0.5800000000000001,1,1,[406555.7436718]
100000000.0,0.125,0.075,0.32,0.6,1,1,[135532.28092325]
100000000.0,0.125,0.075,0.34,0.64,1,1,[453764.65082401]
100000000.0,0.125,0.075,0.36000000000000004,0.66,1,1,[221727.89417973]
100000000.0,0.125,0.075,0.38,0.56,1,1,[232218.55864651]
100000000.0,0.125,0.075,0.38,0.68,1,1,[54825.80691162]
100000000.0,0.125,0.075,0.48000000000000004,0.78,1,1,[168325.37660915]
1000000000.0,0.125,0.075,0.02,0.06,1,1,[96602.56387456]
1000000000.0,0.125,0.075,0.04,0.18,1,1,[122010.4348624]
1000000000.0,0.125,0.075,0.04,0.19999999999999998,1,1,[304437.87365369]
1000000000.0,0.125,0.075,0.04,0.22,1,1,[421567.83345801]
1000000000.0,0.125,0.075,0.04,0.24,1,1,[521302.96553396]
1000000000.0,0.125,0.075,0.06,0.34,1,1,[288056.73905012]
1000000000.0,0.125,0.075,0.06,0.36000000000000004,1,1,[506166.11087618]
1000000000.0,0.125,0.075,0.06,0.38,1,1,[669995.03291442]
1000000000.0,0.125,0.075,0.06,0.4,1,1,[810896.2365403]
1000000000.0,0.125,0.075,0.08,0.48000000000000004,1,1,[375764.66985986]
1000000000.0,0.125,0.075,0.08,0.5,1,1,[654187.68397506]
1000000000.0,0.125,0.075,0.08,0.52,1,1,[873063.42487055]
1000000000.0,0.125,0.075,0.08,0.54,1,1,[1071941.01845042]
1000000000.0,0.125,0.075,0.1,0.5800000000000001,1,1,[174335.2088432]
1000000000.0,0.125,0.075,0.1,0.6,1,1,[589200.28441749]
1000000000.0,0.125,0.075,0.1,0.62,1,1,[904799.82301833]
1000000000.0,0.125,0.075,0.1,0.64,1,1,[1182017.75133368]
1000000000.0,0.125,0.075,0.12000000000000001,0.68,1,1,[546017.92363275]
1000000000.0,0.125,0.075,0.12000000000000001,0.7000000000000001,1,1,[963362.86840051]
1000000000.0,0.125,0.075,0.12000000000000001,0.7200000000000001,1,1,[1361142.02631786]
1000000000.0,0.125,0.075,0.13999999999999999,0.74,1,1,[465743.62311959]
1000000000.0,0.125,0.075,0.13999999999999999,0.76,1,1,[1005978.53745425]
1000000000.0,0.125,0.075,0.16,0.78,1,1,[138697.25566012]
1000000000.0,0.125,0.075,0.16,0.8,1,1,[874640.72245471]
1000000000.0,0.125,0.075,0.18,0.8200000000000001,1,1,[228316.16578606]
1000000000.0,0.125,0.075,0.18,0.8400000000000001,1,1,[1093607.89624298]
1000000000.0,0.125,0.075,0.19999999999999998,0.86,1,1,[790946.10610979]
1000000000.0,0.125,0.075,0.22,0.88,1,1,[698729.05695407]
1000000000.0,0.125,0.075,0.24,0.9,1,1,[907305.12185462]
1000000000.0,0.125,0.075,0.28,0.92,1,1,[393508.75215034]
1000000000.0,0.125,0.075,0.32,0.9400000000000001,1,1,[699876.56826285]
1000000000.0,0.125,0.075,0.4,0.9600000000000001,1,1,[278671.43213329]
1000000000.0,0.125,0.075,0.42000000000000004,0.9400000000000001,1,1,[44653.55213035]
