length_multiply,mpn_s,mpn_d,desired_p_decoy,desired_p_z_alice,factor_x_mud,factor_total,SKR
10000000.0,0.25,0.175,0.04,0.02,1,1,[134760.35971725]
10000000.0,0.25,0.175,0.04,0.04,1,1,[262731.34274704]
10000000.0,0.25,0.175,0.06,0.02,1,1,[151699.35876008]
10000000.0,0.25,0.175,0.06,0.04,1,1,[300556.45789124]
10000000.0,0.25,0.175,0.06,0.06,1,1,[444988.17468802]
10000000.0,0.25,0.175,0.06,0.08,1,1,[582676.35727935]
10000000.0,0.25,0.175,0.06,0.1,1,1,[712884.36485921]
10000000.0,0.25,0.175,0.08,0.02,1,1,[159028.45341178]
10000000.0,0.25,0.175,0.08,0.04,1,1,[316210.17357203]
10000000.0,0.25,0.175,0.08,0.06,1,1,[471028.53041447]
10000000.0,0.25,0.175,0.08,0.08,1,1,[622691.89457938]
10000000.0,0.25,0.175,0.08,0.1,1,1,[770103.76743841]
10000000.0,0.25,0.175,0.08,0.12000000000000001,1,1,[911859.33062802]
10000000.0,0.25,0.175,0.08,0.13999999999999999,1,1,[1046585.11969479]
10000000.0,0.25,0.175,0.08,0.16,1,1,[1175166.71646991]
10000000.0,0.25,0.175,0.08,0.18,1,1,[1317110.34134465]
10000000.0,0.25,0.175,0.1,0.02,1,1,[162579.09404494]
10000000.0,0.25,0.175,0.1,0.04,1,1,[323734.7306116]
10000000.0,0.25,0.175,0.1,0.06,1,1,[483261.89033833]
10000000.0,0.25,0.175,0.1,0.08,1,1,[640813.42619336]
10000000.0,0.25,0.175,0.1,0.1,1,1,[795915.71476071]
10000000.0,0.25,0.175,0.1,0.12000000000000001,1,1,[947947.33678756]
10000000.0,0.25,0.175,0.1,0.13999999999999999,1,1,[1096110.24613902]
10000000.0,0.25,0.175,0.1,0.16,1,1,[1239414.18821395]
10000000.0,0.25,0.175,0.1,0.18,1,1,[1376733.98673653]
10000000.0,0.25,0.175,0.1,0.19999999999999998,1,1,[1507143.87852968]
10000000.0,0.25,0.175,0.1,0.22,1,1,[1631313.85467269]
10000000.0,0.25,0.175,0.1,0.24,1,1,[1757809.58014178]
10000000.0,0.25,0.175,0.1,0.26,1,1,[1952394.13508137]
10000000.0,0.25,0.175,0.12000000000000001,0.02,1,1,[164252.93022406]
10000000.0,0.25,0.175,0.12000000000000001,0.04,1,1,[327314.88781838]
10000000.0,0.25,0.175,0.12000000000000001,0.06,1,1,[489108.83858338]
10000000.0,0.25,0.175,0.12000000000000001,0.08,1,1,[649455.22051791]
10000000.0,0.25,0.175,0.12000000000000001,0.1,1,1,[808104.45308053]
10000000.0,0.25,0.175,0.12000000000000001,0.12000000000000001,1,1,[964733.7978179]
10000000.0,0.25,0.175,0.12000000000000001,0.13999999999999999,1,1,[1118934.56586229]
10000000.0,0.25,0.175,0.12000000000000001,0.16,1,1,[1270193.88857043]
10000000.0,0.25,0.175,0.12000000000000001,0.18,1,1,[1417873.60000178]
10000000.0,0.25,0.175,0.12000000000000001,0.19999999999999998,1,1,[1561192.01226724]
10000000.0,0.25,0.175,0.12000000000000001,0.22,1,1,[1699225.28454672]
10000000.0,0.25,0.175,0.12000000000000001,0.24,1,1,[1830976.87472205]
10000000.0,0.25,0.175,0.12000000000000001,0.26,1,1,[1955660.55430781]
10000000.0,0.25,0.175,0.12000000000000001,0.28,1,1,[2073673.33673276]
10000000.0,0.25,0.175,0.12000000000000001,0.30000000000000004,1,1,[2190107.35219322]
10000000.0,0.25,0.175,0.12000000000000001,0.32,1,1,[2331058.8369403]
10000000.0,0.25,0.175,0.13999999999999999,0.02,1,1,[164858.18307263]
10000000.0,0.25,0.175,0.13999999999999999,0.04,1,1,[328673.04643935]
10000000.0,0.25,0.175,0.13999999999999999,0.06,1,1,[491431.54423996]
10000000.0,0.25,0.175,0.13999999999999999,0.08,1,1,[653033.4998428]
10000000.0,0.25,0.175,0.13999999999999999,0.1,1,1,[813330.42045188]
10000000.0,0.25,0.175,0.13999999999999999,0.12000000000000001,1,1,[972129.48495703]
10000000.0,0.25,0.175,0.13999999999999999,0.13999999999999999,1,1,[1129189.2679318]
10000000.0,0.25,0.175,0.13999999999999999,0.16,1,1,[1284211.22331736]
10000000.0,0.25,0.175,0.13999999999999999,0.18,1,1,[1436827.80505929]
10000000.0,0.25,0.175,0.13999999999999999,0.19999999999999998,1,1,[1586587.46178801]
10000000.0,0.25,0.175,0.13999999999999999,0.22,1,1,[1732937.03775113]
10000000.0,0.25,0.175,0.13999999999999999,0.24,1,1,[1875203.57511393]
10000000.0,0.25,0.175,0.13999999999999999,0.26,1,1,[2012581.57052778]
10000000.0,0.25,0.175,0.13999999999999999,0.28,1,1,[2144142.395603]
10000000.0,0.25,0.175,0.13999999999999999,0.30000000000000004,1,1,[2268911.20634921]
10000000.0,0.25,0.175,0.13999999999999999,0.32,1,1,[2386138.30548393]
10000000.0,0.25,0.175,0.13999999999999999,0.34,1,1,[2496149.67834999]
10000000.0,0.25,0.175,0.13999999999999999,0.36000000000000004,1,1,[2603120.96434186]
10000000.0,0.25,0.175,0.13999999999999999,0.38,1,1,[2725920.46343149]
10000000.0,0.25,0.175,0.13999999999999999,0.4,1,1,[2974350.78037346]
10000000.0,0.25,0.175,0.16,0.02,1,1,[164797.20620112]
10000000.0,0.25,0.175,0.16,0.04,1,1,[328654.09242323]
10000000.0,0.25,0.175,0.16,0.06,1,1,[491593.74237466]
