length_multiply,mpn_s,mpn_d,desired_p_decoy,desired_p_z_alice,factor_x_mud,factor_total,SKR
10000000.0,0.5,0.35,0.04,0.02,1,1,[145042.10676421]
10000000.0,0.5,0.35,0.06,0.02,1,1,[167800.50233805]
10000000.0,0.5,0.35,0.06,0.04,1,1,[330916.26451652]
10000000.0,0.5,0.35,0.08,0.04,1,1,[353168.50515091]
10000000.0,0.5,0.35,0.08,0.06,1,1,[525942.26586443]
10000000.0,0.5,0.35,0.08,0.08,1,1,[644061.3116071]
10000000.0,0.5,0.35,0.1,0.06,1,1,[542907.17815623]
10000000.0,0.5,0.35,0.1,0.08,1,1,[720928.54975708]
10000000.0,0.5,0.35,0.1,0.1,1,1,[886000.02621517]
10000000.0,0.5,0.35,0.1,0.12000000000000001,1,1,[929801.56539303]
10000000.0,0.5,0.35,0.12000000000000001,0.06,1,1,[549936.99495434]
10000000.0,0.5,0.35,0.12000000000000001,0.08,1,1,[732639.61400195]
10000000.0,0.5,0.35,0.12000000000000001,0.1,1,1,[913448.21050174]
10000000.0,0.5,0.35,0.12000000000000001,0.12000000000000001,1,1,[1088353.65231808]
10000000.0,0.5,0.35,0.12000000000000001,0.13999999999999999,1,1,[1240600.14054341]
10000000.0,0.5,0.35,0.12000000000000001,0.16,1,1,[1251080.28249554]
10000000.0,0.5,0.35,0.13999999999999999,0.08,1,1,[736865.51108842]
10000000.0,0.5,0.35,0.13999999999999999,0.1,1,1,[920435.82865797]
10000000.0,0.5,0.35,0.13999999999999999,0.12000000000000001,1,1,[1102571.45303431]
10000000.0,0.5,0.35,0.13999999999999999,0.13999999999999999,1,1,[1281238.26795618]
10000000.0,0.5,0.35,0.13999999999999999,0.16,1,1,[1450672.01210805]
10000000.0,0.5,0.35,0.13999999999999999,0.18,1,1,[1590487.709653]
10000000.0,0.5,0.35,0.13999999999999999,0.19999999999999998,1,1,[1593246.79919214]
10000000.0,0.5,0.35,0.16,0.1,1,1,[921629.96167347]
10000000.0,0.5,0.35,0.16,0.12000000000000001,1,1,[1105308.82968837]
10000000.0,0.5,0.35,0.16,0.13999999999999999,1,1,[1287846.99711588]
10000000.0,0.5,0.35,0.16,0.16,1,1,[1468034.16448692]
10000000.0,0.5,0.35,0.16,0.18,1,1,[1643095.58387631]
10000000.0,0.5,0.35,0.16,0.19999999999999998,1,1,[1805878.77157214]
10000000.0,0.5,0.35,0.16,0.22,1,1,[1934061.97855516]
10000000.0,0.5,0.35,0.16,0.24,1,1,[1932436.45808919]
10000000.0,0.5,0.35,0.18,0.12000000000000001,1,1,[1103434.24307812]
10000000.0,0.5,0.35,0.18,0.13999999999999999,1,1,[1286703.20233597]
10000000.0,0.5,0.35,0.18,0.16,1,1,[1469024.76104141]
10000000.0,0.5,0.35,0.18,0.18,1,1,[1649595.55926335]
10000000.0,0.5,0.35,0.18,0.19999999999999998,1,1,[1826797.68270782]
10000000.0,0.5,0.35,0.18,0.22,1,1,[1997142.37611571]
10000000.0,0.5,0.35,0.18,0.24,1,1,[2152206.83149767]
10000000.0,0.5,0.35,0.18,0.26,1,1,[2267952.51686382]
10000000.0,0.5,0.35,0.18,0.28,1,1,[2255515.7521718]
10000000.0,0.5,0.35,0.18,0.30000000000000004,1,1,[1760107.21861113]
10000000.0,0.5,0.35,0.19999999999999998,0.13999999999999999,1,1,[1281795.66728287]
10000000.0,0.5,0.35,0.19999999999999998,0.16,1,1,[1464283.04395048]
10000000.0,0.5,0.35,0.19999999999999998,0.18,1,1,[1645953.2296462]
10000000.0,0.5,0.35,0.19999999999999998,0.19999999999999998,1,1,[1826228.00324495]
10000000.0,0.5,0.35,0.19999999999999998,0.22,1,1,[2004036.93253956]
10000000.0,0.5,0.35,0.19999999999999998,0.24,1,1,[2177318.20073644]
10000000.0,0.5,0.35,0.19999999999999998,0.26,1,1,[2341788.69294363]
10000000.0,0.5,0.35,0.19999999999999998,0.28,1,1,[2487553.72586735]
10000000.0,0.5,0.35,0.19999999999999998,0.30000000000000004,1,1,[2588000.52372]
10000000.0,0.5,0.35,0.19999999999999998,0.32,1,1,[2553349.63764224]
10000000.0,0.5,0.35,0.19999999999999998,0.34,1,1,[2018165.39930821]
10000000.0,0.5,0.35,0.22,0.16,1,1,[1456404.11076262]
10000000.0,0.5,0.35,0.22,0.18,1,1,[1637833.0424543]
10000000.0,0.5,0.35,0.22,0.19999999999999998,1,1,[1818534.05464332]
10000000.0,0.5,0.35,0.22,0.22,1,1,[1998063.72176256]
10000000.0,0.5,0.35,0.22,0.24,1,1,[2175646.69288929]
10000000.0,0.5,0.35,0.22,0.26,1,1,[2349899.2802648]
10000000.0,0.5,0.35,0.22,0.28,1,1,[2518213.72335655]
10000000.0,0.5,0.35,0.22,0.30000000000000004,1,1,[2675290.78666076]
10000000.0,0.5,0.35,0.22,0.32,1,1,[2809199.59049734]
10000000.0,0.5,0.35,0.22,0.34,1,1,[2888916.92022365]
10000000.0,0.5,0.35,0.22,0.36000000000000004,1,1,[2815034.79568859]
10000000.0,0.5,0.35,0.22,0.38,1,1,[2211794.81042745]
10000000.0,0.5,0.35,0.24,0.18,1,1,[1627050.68313903]
