length_multiply,mpn_s,mpn_d,desired_p_decoy,desired_p_z_alice,factor_x_mud,factor_total,SKR
10000000.0,0.6,0.42,0.02,0.02,1,1,[50397.15522203]
10000000.0,0.6,0.42,0.02,0.04,1,1,[100772.3005883]
10000000.0,0.6,0.42,0.02,0.06,1,1,[151118.09505192]
10000000.0,0.6,0.42,0.02,0.08,1,1,[201424.21306414]
10000000.0,0.6,0.42,0.02,0.1,1,1,[251677.16770051]
10000000.0,0.6,0.42,0.02,0.12000000000000001,1,1,[301859.28215355]
10000000.0,0.6,0.42,0.02,0.13999999999999999,1,1,[351947.13652224]
10000000.0,0.6,0.42,0.02,0.16,1,1,[401909.29837625]
10000000.0,0.6,0.42,0.02,0.18,1,1,[451702.96879058]
10000000.0,0.6,0.42,0.02,0.19999999999999998,1,1,[501268.92662522]
10000000.0,0.6,0.42,0.02,0.22,1,1,[550523.72654214]
10000000.0,0.6,0.42,0.02,0.24,1,1,[599347.33244536]
10000000.0,0.6,0.42,0.02,0.26,1,1,[647562.90941288]
10000000.0,0.6,0.42,0.02,0.28,1,1,[694902.62915975]
10000000.0,0.6,0.42,0.02,0.30000000000000004,1,1,[740947.43255007]
10000000.0,0.6,0.42,0.02,0.32,1,1,[785015.8467354]
10000000.0,0.6,0.42,0.02,0.34,1,1,[825947.37126453]
10000000.0,0.6,0.42,0.02,0.36000000000000004,1,1,[861653.68152919]
10000000.0,0.6,0.42,0.02,0.38,1,1,[888127.21930567]
10000000.0,0.6,0.42,0.02,0.4,1,1,[897174.0221798]
10000000.0,0.6,0.42,0.02,0.42000000000000004,1,1,[872625.79657116]
10000000.0,0.6,0.42,0.02,0.44,1,1,[863362.95299778]
10000000.0,0.6,0.42,0.04,0.02,1,1,[88643.34706068]
10000000.0,0.6,0.42,0.04,0.04,1,1,[177279.00565419]
10000000.0,0.6,0.42,0.04,0.06,1,1,[265905.69013998]
10000000.0,0.6,0.42,0.04,0.08,1,1,[354521.6048177]
10000000.0,0.6,0.42,0.04,0.1,1,1,[443124.66774417]
10000000.0,0.6,0.42,0.04,0.12000000000000001,1,1,[531712.48520832]
10000000.0,0.6,0.42,0.04,0.13999999999999999,1,1,[620282.29257987]
10000000.0,0.6,0.42,0.04,0.16,1,1,[708830.87676086]
10000000.0,0.6,0.42,0.04,0.18,1,1,[797354.47988524]
10000000.0,0.6,0.42,0.04,0.19999999999999998,1,1,[885848.68006841]
10000000.0,0.6,0.42,0.04,0.22,1,1,[974308.24278422]
10000000.0,0.6,0.42,0.04,0.24,1,1,[1062726.93409967]
10000000.0,0.6,0.42,0.04,0.26,1,1,[1151097.28394101]
10000000.0,0.6,0.42,0.04,0.28,1,1,[1239410.28334408]
10000000.0,0.6,0.42,0.04,0.30000000000000004,1,1,[1327654.9936891]
10000000.0,0.6,0.42,0.04,0.32,1,1,[1415818.03740325]
10000000.0,0.6,0.42,0.04,0.34,1,1,[1503882.92726336]
10000000.0,0.6,0.42,0.04,0.36000000000000004,1,1,[1591829.17326314]
10000000.0,0.6,0.42,0.04,0.38,1,1,[1679631.07886755]
10000000.0,0.6,0.42,0.04,0.4,1,1,[1767256.09724083]
10000000.0,0.6,0.42,0.04,0.42000000000000004,1,1,[1854662.55422365]
10000000.0,0.6,0.42,0.04,0.44,1,1,[1941796.44408179]
10000000.0,0.6,0.42,0.04,0.46,1,1,[2028586.84140673]
10000000.0,0.6,0.42,0.04,0.48000000000000004,1,1,[2114939.20350475]
10000000.0,0.6,0.42,0.04,0.5,1,1,[2200725.38031467]
10000000.0,0.6,0.42,0.04,0.52,1,1,[2285768.34771882]
10000000.0,0.6,0.42,0.04,0.54,1,1,[2369818.22786963]
10000000.0,0.6,0.42,0.04,0.56,1,1,[2452513.42442336]
10000000.0,0.6,0.42,0.04,0.5800000000000001,1,1,[2533315.31566324]
10000000.0,0.6,0.42,0.04,0.6,1,1,[2611393.80000816]
10000000.0,0.6,0.42,0.04,0.62,1,1,[2685416.51442004]
10000000.0,0.6,0.42,0.04,0.64,1,1,[2753137.00487373]
10000000.0,0.6,0.42,0.04,0.66,1,1,[2810530.47425346]
10000000.0,0.6,0.42,0.04,0.68,1,1,[2849815.09422074]
10000000.0,0.6,0.42,0.04,0.7000000000000001,1,1,[2854423.48586638]
10000000.0,0.6,0.42,0.04,0.7200000000000001,1,1,[2784816.894527]
10000000.0,0.6,0.42,0.04,0.74,1,1,[2546002.751326]
10000000.0,0.6,0.42,0.06,0.02,1,1,[100363.71566911]
10000000.0,0.6,0.42,0.06,0.04,1,1,[200723.08116153]
10000000.0,0.6,0.42,0.06,0.06,1,1,[301077.58176698]
10000000.0,0.6,0.42,0.06,0.08,1,1,[401426.44167467]
10000000.0,0.6,0.42,0.06,0.1,1,1,[501768.77824241]
