length_multiply,mpn_s,mpn_d,desired_p_decoy,desired_p_z_alice,factor_x_mud,factor_total,SKR
10000000.0,0.1,0.06,0.1,0.9,1,1,[62420.67155091]
10000000.0,0.1,0.06,0.12000000000000001,0.92,1,1,[200111.54931703]
10000000.0,0.1,0.06,0.12000000000000001,0.9400000000000001,1,1,[81272.6001983]
10000000.0,0.1,0.06,0.13999999999999999,0.9400000000000001,1,1,[271561.7410825]
10000000.0,0.1,0.06,0.16,0.9400000000000001,1,1,[321533.10622038]
10000000.0,0.1,0.06,0.16,0.9600000000000001,1,1,[236935.18367388]
10000000.0,0.1,0.06,0.18,0.9600000000000001,1,1,[319035.95305727]
10000000.0,0.1,0.06,0.19999999999999998,0.9600000000000001,1,1,[329922.82409192]
10000000.0,0.1,0.06,0.22,0.9600000000000001,1,1,[315836.53053423]
10000000.0,0.1,0.06,0.24,0.98,1,1,[106055.30493254]
10000000.0,0.1,0.06,0.26,0.98,1,1,[171680.73721746]
10000000.0,0.1,0.06,0.28,0.98,1,1,[169140.76397305]
10000000.0,0.1,0.06,0.30000000000000004,0.98,1,1,[141083.00949619]
10000000.0,0.1,0.06,0.32,0.98,1,1,[100376.70020654]
10000000.0,0.1,0.06,0.34,0.98,1,1,[52206.30593405]
100000000.0,0.1,0.06,0.04,0.9400000000000001,1,1,[620948.96275756]
100000000.0,0.1,0.06,0.04,0.9600000000000001,1,1,[76184.29927284]
100000000.0,0.1,0.06,0.06,0.98,1,1,[644213.66318243]
1000000000.0,0.1,0.06,0.02,0.98,1,1,[1124217.7522865]
