length_multiply,mpn_s,mpn_d,desired_p_decoy,desired_p_z_alice,factor_x_mud,factor_total,SKR
10000000.0,0.12,0.105,0.02,0.02,1,1,[742192.54336813]
10000000.0,0.12,0.105,0.02,0.04,1,1,[1484359.14414373]
10000000.0,0.12,0.105,0.02,0.06,1,1,[2226495.01516139]
10000000.0,0.12,0.105,0.02,0.08,1,1,[2968593.58902]
10000000.0,0.12,0.105,0.02,0.1,1,1,[3710647.20293036]
10000000.0,0.12,0.105,0.02,0.12000000000000001,1,1,[4452646.95597438]
10000000.0,0.12,0.105,0.02,0.13999999999999999,1,1,[5194582.44889878]
10000000.0,0.12,0.105,0.02,0.16,1,1,[5936441.44782098]
10000000.0,0.12,0.105,0.02,0.18,1,1,[6678209.46297894]
10000000.0,0.12,0.105,0.02,0.19999999999999998,1,1,[7419869.21961136]
10000000.0,0.12,0.105,0.02,0.22,1,1,[8161399.98775415]
10000000.0,0.12,0.105,0.02,0.24,1,1,[8902776.72535687]
10000000.0,0.12,0.105,0.02,0.26,1,1,[9643968.97211227]
10000000.0,0.12,0.105,0.02,0.28,1,1,[10384939.4071627]
10000000.0,0.12,0.105,0.02,0.30000000000000004,1,1,[11125641.94872537]
10000000.0,0.12,0.105,0.02,0.32,1,1,[11866019.2220115]
10000000.0,0.12,0.105,0.02,0.34,1,1,[12605999.14462743]
10000000.0,0.12,0.105,0.02,0.36000000000000004,1,1,[13345490.26139465]
10000000.0,0.12,0.105,0.02,0.38,1,1,[14084375.27914157]
10000000.0,0.12,0.105,0.02,0.4,1,1,[14822501.96575709]
10000000.0,0.12,0.105,0.02,0.42000000000000004,1,1,[15559670.11597387]
10000000.0,0.12,0.105,0.02,0.44,1,1,[16295612.52299116]
10000000.0,0.12,0.105,0.02,0.46,1,1,[17029966.59880675]
10000000.0,0.12,0.105,0.02,0.48000000000000004,1,1,[17762231.01779907]
10000000.0,0.12,0.105,0.02,0.5,1,1,[18491697.65227545]
10000000.0,0.12,0.105,0.02,0.52,1,1,[19217341.34730245]
10000000.0,0.12,0.105,0.02,0.54,1,1,[19937634.91438568]
10000000.0,0.12,0.105,0.02,0.56,1,1,[20650225.39648221]
10000000.0,0.12,0.105,0.02,0.5800000000000001,1,1,[21351339.07643218]
10000000.0,0.12,0.105,0.02,0.6,1,1,[22034621.96571674]
10000000.0,0.12,0.105,0.02,0.62,1,1,[22688714.18714074]
10000000.0,0.12,0.105,0.02,0.64,1,1,[23291716.16735351]
10000000.0,0.12,0.105,0.02,0.66,1,1,[23797160.32451615]
10000000.0,0.12,0.105,0.02,0.68,1,1,[24094140.49949334]
10000000.0,0.12,0.105,0.02,0.7000000000000001,1,1,[23900792.98064968]
10000000.0,0.12,0.105,0.04,0.02,1,1,[817421.70677986]
10000000.0,0.12,0.105,0.04,0.04,1,1,[1634833.24079467]
10000000.0,0.12,0.105,0.04,0.06,1,1,[2452233.68736786]
10000000.0,0.12,0.105,0.04,0.08,1,1,[3269621.52312286]
10000000.0,0.12,0.105,0.04,0.1,1,1,[4086995.01134952]
10000000.0,0.12,0.105,0.04,0.12000000000000001,1,1,[4904352.21428674]
10000000.0,0.12,0.105,0.04,0.13999999999999999,1,1,[5721690.96795669]
10000000.0,0.12,0.105,0.04,0.16,1,1,[6539008.84501764]
10000000.0,0.12,0.105,0.04,0.18,1,1,[7356303.10935892]
10000000.0,0.12,0.105,0.04,0.19999999999999998,1,1,[8173570.66208578]
10000000.0,0.12,0.105,0.04,0.22,1,1,[8990807.97726787]
10000000.0,0.12,0.105,0.04,0.24,1,1,[9808011.02508627]
10000000.0,0.12,0.105,0.04,0.26,1,1,[10625175.17929957]
10000000.0,0.12,0.105,0.04,0.28,1,1,[11442295.10508319]
