length_multiply,mpn_s,mpn_d,desired_p_decoy,desired_p_z_alice,factor_x_mud,factor_total,SKR
10000000.0,0.5,0.47,0.02,0.19999999999999998,1,1,[6756847.04435182]
10000000.0,0.5,0.47,0.02,0.22,1,1,[7432454.71912276]
10000000.0,0.5,0.47,0.02,0.24,1,1,[8107988.1747214]
10000000.0,0.5,0.47,0.02,0.26,1,1,[8783426.73492634]
10000000.0,0.5,0.47,0.02,0.28,1,1,[9458738.23031156]
10000000.0,0.5,0.47,0.02,0.30000000000000004,1,1,[10133877.91407865]
10000000.0,0.5,0.47,0.02,0.32,1,1,[10808783.84276401]
10000000.0,0.5,0.47,0.02,0.34,1,1,[11483369.36640664]
10000000.0,0.5,0.47,0.02,0.36000000000000004,1,1,[12157511.3260214]
10000000.0,0.5,0.47,0.02,0.38,1,1,[12831031.18747857]
10000000.0,0.5,0.47,0.02,0.4,1,1,[13503664.00487241]
10000000.0,0.5,0.47,0.02,0.42000000000000004,1,1,[14175005.51994436]
10000000.0,0.5,0.47,0.02,0.44,1,1,[14844418.115289]
10000000.0,0.5,0.47,0.02,0.46,1,1,[15510855.00117468]
10000000.0,0.5,0.47,0.02,0.48000000000000004,1,1,[16172510.94724854]
10000000.0,0.5,0.47,0.02,0.5,1,1,[16826074.37642112]
10000000.0,0.5,0.47,0.02,0.52,1,1,[17464966.2156548]
10000000.0,0.5,0.47,0.02,0.54,1,1,[18074643.17348139]
10000000.0,0.5,0.47,0.02,0.56,1,1,[18617744.17224985]
10000000.0,0.5,0.47,0.02,0.5800000000000001,1,1,[18973972.62498686]
10000000.0,0.5,0.47,0.02,0.6,1,1,[18600560.49325591]
10000000.0,0.5,0.47,0.04,0.48000000000000004,1,1,[17388921.92151091]
10000000.0,0.5,0.47,0.04,0.5,1,1,[18113314.37963641]
10000000.0,0.5,0.47,0.04,0.52,1,1,[18837565.63136447]
10000000.0,0.5,0.47,0.04,0.54,1,1,[19561656.00318168]
10000000.0,0.5,0.47,0.04,0.56,1,1,[20285539.0639802]
10000000.0,0.5,0.47,0.04,0.5800000000000001,1,1,[21009145.67591192]
10000000.0,0.5,0.47,0.04,0.6,1,1,[21732375.99688504]
10000000.0,0.5,0.47,0.04,0.62,1,1,[22455084.65038333]
10000000.0,0.5,0.47,0.04,0.64,1,1,[23177055.67583064]
10000000.0,0.5,0.47,0.04,0.66,1,1,[23897959.49515108]
10000000.0,0.5,0.47,0.04,0.68,1,1,[24617276.07080895]
10000000.0,0.5,0.47,0.04,0.7000000000000001,1,1,[25334150.63126323]
10000000.0,0.5,0.47,0.04,0.7200000000000001,1,1,[26047105.48290186]
10000000.0,0.5,0.47,0.04,0.74,1,1,[26753418.26660194]
