length_multiply,mpn_s,mpn_d,desired_p_decoy,desired_p_z_alice,factor_x_mud,factor_total,SKR
10000000.0,0.165,0.16,0.02,0.02,1,1,[1006009.11133277]
10000000.0,0.165,0.16,0.02,0.04,1,1,[2011983.70748944]
10000000.0,0.165,0.16,0.02,0.06,1,1,[3017922.55036803]
10000000.0,0.165,0.16,0.02,0.08,1,1,[4023822.1153478]
10000000.0,0.165,0.16,0.02,0.1,1,1,[5029678.05708841]
10000000.0,0.165,0.16,0.02,0.12000000000000001,1,1,[6035485.31236841]
10000000.0,0.165,0.16,0.02,0.13999999999999999,1,1,[7041238.05345454]
10000000.0,0.165,0.16,0.02,0.16,1,1,[8046929.58795074]
10000000.0,0.165,0.16,0.02,0.18,1,1,[9052552.22223328]
10000000.0,0.165,0.16,0.02,0.19999999999999998,1,1,[10058097.08923366]
10000000.0,0.165,0.16,0.02,0.22,1,1,[11063553.93551002]
10000000.0,0.165,0.16,0.02,0.24,1,1,[12068910.85893914]
10000000.0,0.165,0.16,0.02,0.26,1,1,[13074153.98489335]
10000000.0,0.165,0.16,0.02,0.28,1,1,[14079267.06462819]
10000000.0,0.165,0.16,0.02,0.30000000000000004,1,1,[15084230.97422668]
10000000.0,0.165,0.16,0.02,0.32,1,1,[16089023.08520028]
10000000.0,0.165,0.16,0.02,0.34,1,1,[17093616.46789986]
10000000.0,0.165,0.16,0.02,0.36000000000000004,1,1,[18097978.87503763]
10000000.0,0.165,0.16,0.02,0.38,1,1,[19102071.43307839]
10000000.0,0.165,0.16,0.02,0.4,1,1,[20105846.94132445]
10000000.0,0.165,0.16,0.02,0.42000000000000004,1,1,[21109247.63803478]
10000000.0,0.165,0.16,0.02,0.44,1,1,[22112202.23337537]
10000000.0,0.165,0.16,0.02,0.46,1,1,[23114621.92001431]
10000000.0,0.165,0.16,0.02,0.48000000000000004,1,1,[24116394.93687484]
10000000.0,0.165,0.16,0.02,0.5,1,1,[25117379.05191752]
10000000.0,0.165,0.16,0.02,0.52,1,1,[26117390.99820448]
10000000.0,0.165,0.16,0.02,0.54,1,1,[27116191.36086723]
10000000.0,0.165,0.16,0.02,0.56,1,1,[28113462.52208177]
10000000.0,0.165,0.16,0.02,0.5800000000000001,1,1,[29108775.75142194]
10000000.0,0.165,0.16,0.02,0.6,1,1,[30101540.85288063]
10000000.0,0.165,0.16,0.02,0.62,1,1,[31090926.89814054]
10000000.0,0.165,0.16,0.02,0.64,1,1,[32075733.30579406]
10000000.0,0.165,0.16,0.02,0.66,1,1,[33054172.09462537]
10000000.0,0.165,0.16,0.02,0.68,1,1,[34023483.48377236]
10000000.0,0.165,0.16,0.02,0.7000000000000001,1,1,[34979220.71191368]
10000000.0,0.165,0.16,0.02,0.7200000000000001,1,1,[35913832.39972959]
10000000.0,0.165,0.16,0.02,0.74,1,1,[36813624.71364805]
10000000.0,0.165,0.16,0.02,0.76,1,1,[37651581.2522827]
10000000.0,0.165,0.16,0.02,0.78,1,1,[38368113.88649236]
10000000.0,0.165,0.16,0.02,0.8,1,1,[38810397.18093108]
10000000.0,0.165,0.16,0.02,0.8200000000000001,1,1,[38510375.08498668]
10000000.0,0.165,0.16,0.04,0.02,1,1,[1070190.604813]
10000000.0,0.165,0.16,0.04,0.04,1,1,[2140361.4730238]
10000000.0,0.165,0.16,0.04,0.06,1,1,[3210513.18810239]
10000000.0,0.165,0.16,0.04,0.08,1,1,[4280645.1174657]
10000000.0,0.165,0.16,0.04,0.1,1,1,[5350756.24452396]
10000000.0,0.165,0.16,0.04,0.12000000000000001,1,1,[6420845.28266437]
10000000.0,0.165,0.16,0.04,0.13999999999999999,1,1,[7490910.70372306]
10000000.0,0.165,0.16,0.04,0.16,1,1,[8560950.73817757]
10000000.0,0.165,0.16,0.04,0.18,1,1,[9630963.36095755]
10000000.0,0.165,0.16,0.04,0.19999999999999998,1,1,[10700946.2672887]
10000000.0,0.165,0.16,0.04,0.22,1,1,[11770896.83987165]
10000000.0,0.165,0.16,0.04,0.24,1,1,[12840812.10731863]
10000000.0,0.165,0.16,0.04,0.26,1,1,[13910688.69295321]
10000000.0,0.165,0.16,0.04,0.28,1,1,[14980522.75243406]
10000000.0,0.165,0.16,0.04,0.30000000000000004,1,1,[16050309.89802478]
