length_multiply,mpn_s,mpn_d,desired_p_decoy,desired_p_z_alice,factor_x_mud,factor_total,SKR
10000000.0,0.65,0.48750000000000004,0.02,0.18,1,1,[494460.39232188]
10000000.0,0.65,0.48750000000000004,0.04,0.44,1,1,[537342.894148]
10000000.0,0.65,0.48750000000000004,0.08,0.74,1,1,[162430.80550534]
10000000.0,0.65,0.48750000000000004,0.12000000000000001,0.86,1,1,[2445601.00072261]
10000000.0,0.65,0.48750000000000004,0.92,0.98,1,1,[2790741.70768619]
10000000.0,0.65,0.48750000000000004,0.9400000000000001,0.98,1,1,[2733267.94280269]
10000000.0,0.65,0.48750000000000004,0.9600000000000001,0.98,1,1,[2659877.75203631]
10000000.0,0.65,0.48750000000000004,0.98,0.9400000000000001,1,1,[2513947.70800308]
10000000.0,0.65,0.48750000000000004,0.98,0.9600000000000001,1,1,[2557277.1004975]
10000000.0,0.65,0.48750000000000004,0.98,0.98,1,1,[2528279.76183969]
100000000.0,0.65,0.48750000000000004,0.02,0.68,1,1,[2129154.8335882]
