length_multiply,mpn_s,mpn_d,desired_p_decoy,desired_p_z_alice,factor_x_mud,factor_total,SKR
10000000.0,0.5,0.35,0.02,0.02,1,1,[85912.01598791]
10000000.0,0.5,0.35,0.02,0.04,1,1,[171754.39312712]
10000000.0,0.5,0.35,0.02,0.06,1,1,[257511.57644678]
10000000.0,0.5,0.35,0.02,0.08,1,1,[343159.61466423]
10000000.0,0.5,0.35,0.02,0.1,1,1,[428667.27804154]
10000000.0,0.5,0.35,0.02,0.12000000000000001,1,1,[513994.05247028]
10000000.0,0.5,0.35,0.02,0.13999999999999999,1,1,[599086.94429147]
10000000.0,0.5,0.35,0.02,0.16,1,1,[683875.82758141]
10000000.0,0.5,0.35,0.02,0.18,1,1,[768266.65585616]
10000000.0,0.5,0.35,0.02,0.19999999999999998,1,1,[852131.39507921]
10000000.0,0.5,0.35,0.02,0.22,1,1,[935292.7783938]
10000000.0,0.5,0.35,0.02,0.24,1,1,[1017500.65776202]
10000000.0,0.5,0.35,0.02,0.26,1,1,[1098394.31503423]
10000000.0,0.5,0.35,0.02,0.28,1,1,[1177440.54424744]
10000000.0,0.5,0.35,0.02,0.30000000000000004,1,1,[1253828.415789]
10000000.0,0.5,0.35,0.02,0.32,1,1,[1326283.59204212]
10000000.0,0.5,0.35,0.02,0.34,1,1,[1392727.48649599]
10000000.0,0.5,0.35,0.02,0.36000000000000004,1,1,[1449628.87850126]
10000000.0,0.5,0.35,0.02,0.38,1,1,[1490760.91565821]
10000000.0,0.5,0.35,0.02,0.4,1,1,[1505170.99500871]
10000000.0,0.5,0.35,0.02,0.42000000000000004,1,1,[1479766.4873567]
10000000.0,0.5,0.35,0.02,0.44,1,1,[1643680.63712071]
10000000.0,0.5,0.35,0.04,0.02,1,1,[149912.76797198]
10000000.0,0.5,0.35,0.04,0.04,1,1,[299792.87793702]
10000000.0,0.5,0.35,0.04,0.06,1,1,[449638.64566059]
10000000.0,0.5,0.35,0.04,0.08,1,1,[599446.04688349]
10000000.0,0.5,0.35,0.04,0.1,1,1,[749210.12239174]
10000000.0,0.5,0.35,0.04,0.12000000000000001,1,1,[898925.04111561]
10000000.0,0.5,0.35,0.04,0.13999999999999999,1,1,[1048584.0067896]
10000000.0,0.5,0.35,0.04,0.16,1,1,[1198179.10033689]
10000000.0,0.5,0.35,0.04,0.18,1,1,[1347701.07097372]
10000000.0,0.5,0.35,0.04,0.19999999999999998,1,1,[1497139.07158226]
10000000.0,0.5,0.35,0.04,0.22,1,1,[1646480.32642934]
10000000.0,0.5,0.35,0.04,0.24,1,1,[1795709.71331563]
10000000.0,0.5,0.35,0.04,0.26,1,1,[1944809.23535613]
10000000.0,0.5,0.35,0.04,0.28,1,1,[2093757.34854853]
10000000.0,0.5,0.35,0.04,0.30000000000000004,1,1,[2242528.09881058]
10000000.0,0.5,0.35,0.04,0.32,1,1,[2391090.00455006]
10000000.0,0.5,0.35,0.04,0.34,1,1,[2539404.59553973]
10000000.0,0.5,0.35,0.04,0.36000000000000004,1,1,[2687424.48200705]
10000000.0,0.5,0.35,0.04,0.38,1,1,[2835090.773285]
10000000.0,0.5,0.35,0.04,0.4,1,1,[2982329.5832718]
10000000.0,0.5,0.35,0.04,0.42000000000000004,1,1,[3129047.2342083]
10000000.0,0.5,0.35,0.04,0.44,1,1,[3275123.57395674]
10000000.0,0.5,0.35,0.04,0.46,1,1,[3420402.50889033]
10000000.0,0.5,0.35,0.04,0.48000000000000004,1,1,[3564678.3435351]
10000000.0,0.5,0.35,0.04,0.5,1,1,[3707675.66251519]
10000000.0,0.5,0.35,0.04,0.52,1,1,[3849019.01638869]
10000000.0,0.5,0.35,0.04,0.54,1,1,[3988186.05189379]
10000000.0,0.5,0.35,0.04,0.56,1,1,[4124432.89757554]
10000000.0,0.5,0.35,0.04,0.5800000000000001,1,1,[4256671.35342019]
10000000.0,0.5,0.35,0.04,0.6,1,1,[4383258.84696874]
10000000.0,0.5,0.35,0.04,0.62,1,1,[4501622.86382359]
10000000.0,0.5,0.35,0.04,0.64,1,1,[4607553.75031887]
10000000.0,0.5,0.35,0.04,0.66,1,1,[4693790.70707026]
10000000.0,0.5,0.35,0.04,0.68,1,1,[4746997.42109402]
10000000.0,0.5,0.35,0.04,0.7000000000000001,1,1,[4740865.59413128]
10000000.0,0.5,0.35,0.04,0.7200000000000001,1,1,[4620663.24500863]
10000000.0,0.5,0.35,0.04,0.74,1,1,[4307004.07649145]
10000000.0,0.5,0.35,0.06,0.02,1,1,[169568.02244115]
10000000.0,0.5,0.35,0.06,0.04,1,1,[339113.15218061]
10000000.0,0.5,0.35,0.06,0.06,1,1,[508635.35689957]
10000000.0,0.5,0.35,0.06,0.08,1,1,[678133.0910485]
10000000.0,0.5,0.35,0.06,0.1,1,1,[847604.31448887]
10000000.0,0.5,0.35,0.06,0.12000000000000001,1,1,[1017046.59680585]
10000000.0,0.5,0.35,0.06,0.13999999999999999,1,1,[1186457.11911539]
10000000.0,0.5,0.35,0.06,0.16,1,1,[1355832.64169754]
10000000.0,0.5,0.35,0.06,0.18,1,1,[1525169.45175101]
10000000.0,0.5,0.35,0.06,0.19999999999999998,1,1,[1694463.29427402]
10000000.0,0.5,0.35,0.06,0.22,1,1,[1863709.28533769]
10000000.0,0.5,0.35,0.06,0.24,1,1,[2032901.80510574]
10000000.0,0.5,0.35,0.06,0.26,1,1,[2202034.36645712]
10000000.0,0.5,0.35,0.06,0.28,1,1,[2371099.45350082]
10000000.0,0.5,0.35,0.06,0.30000000000000004,1,1,[2540088.32236924]
10000000.0,0.5,0.35,0.06,0.32,1,1,[2708990.75421605]
10000000.0,0.5,0.35,0.06,0.34,1,1,[2877794.74705826]
10000000.0,0.5,0.35,0.06,0.36000000000000004,1,1,[3046486.12863405]
10000000.0,0.5,0.35,0.06,0.38,1,1,[3215048.06628404]
10000000.0,0.5,0.35,0.06,0.4,1,1,[3383460.44125202]
10000000.0,0.5,0.35,0.06,0.42000000000000004,1,1,[3551699.04261477]
10000000.0,0.5,0.35,0.06,0.44,1,1,[3719734.51857426]
10000000.0,0.5,0.35,0.06,0.46,1,1,[3887530.99742704]
10000000.0,0.5,0.35,0.06,0.48000000000000004,1,1,[4055044.2529869]
10000000.0,0.5,0.35,0.06,0.5,1,1,[4222219.23288051]
10000000.0,0.5,0.35,0.06,0.52,1,1,[4388986.68199713]
10000000.0,0.5,0.35,0.06,0.54,1,1,[4555258.45911515]
10000000.0,0.5,0.35,0.06,0.56,1,1,[4720920.93092292]
10000000.0,0.5,0.35,0.06,0.5800000000000001,1,1,[4885825.47901038]
10000000.0,0.5,0.35,0.06,0.6,1,1,[5049774.57177008]
10000000.0,0.5,0.35,0.06,0.62,1,1,[5212500.847081]
10000000.0,0.5,0.35,0.06,0.64,1,1,[5373634.8594621]
10000000.0,0.5,0.35,0.06,0.66,1,1,[5532653.83191907]
10000000.0,0.5,0.35,0.06,0.68,1,1,[5688797.36143719]
10000000.0,0.5,0.35,0.06,0.7000000000000001,1,1,[5840923.08266556]
10000000.0,0.5,0.35,0.06,0.7200000000000001,1,1,[5987247.54562755]
10000000.0,0.5,0.35,0.06,0.74,1,1,[6124853.95969888]
10000000.0,0.5,0.35,0.06,0.76,1,1,[6248690.51247656]
10000000.0,0.5,0.35,0.06,0.78,1,1,[6349350.66685669]
10000000.0,0.5,0.35,0.06,0.8,1,1,[6407592.78885537]
10000000.0,0.5,0.35,0.06,0.8200000000000001,1,1,[6378787.04438557]
10000000.0,0.5,0.35,0.06,0.8400000000000001,1,1,[6140598.04276626]
10000000.0,0.5,0.35,0.06,0.86,1,1,[5335030.3920881]
10000000.0,0.5,0.35,0.08,0.02,1,1,[178137.25665848]
10000000.0,0.5,0.35,0.08,0.04,1,1,[356256.11028929]
10000000.0,0.5,0.35,0.08,0.06,1,1,[534356.98177384]
10000000.0,0.5,0.35,0.08,0.08,1,1,[712439.12497064]
10000000.0,0.5,0.35,0.08,0.1,1,1,[890501.42698265]
10000000.0,0.5,0.35,0.08,0.12000000000000001,1,1,[1068542.50922256]
10000000.0,0.5,0.35,0.08,0.13999999999999999,1,1,[1246560.74746704]
10000000.0,0.5,0.35,0.08,0.16,1,1,[1424554.26542176]
10000000.0,0.5,0.35,0.08,0.18,1,1,[1602520.91442307]
10000000.0,0.5,0.35,0.08,0.19999999999999998,1,1,[1780458.24294754]
10000000.0,0.5,0.35,0.08,0.22,1,1,[1958363.45669174]
10000000.0,0.5,0.35,0.08,0.24,1,1,[2136233.36866099]
10000000.0,0.5,0.35,0.08,0.26,1,1,[2314064.33785973]
10000000.0,0.5,0.35,0.08,0.28,1,1,[2491852.19443932]
10000000.0,0.5,0.35,0.08,0.30000000000000004,1,1,[2669592.14836906]
10000000.0,0.5,0.35,0.08,0.32,1,1,[2847278.67774444]
10000000.0,0.5,0.35,0.08,0.34,1,1,[3024905.39163434]
10000000.0,0.5,0.35,0.08,0.36000000000000004,1,1,[3202464.86077526]
10000000.0,0.5,0.35,0.08,0.38,1,1,[3379948.40728744]
10000000.0,0.5,0.35,0.08,0.4,1,1,[3557345.8416897]
10000000.0,0.5,0.35,0.08,0.42000000000000004,1,1,[3734645.13150467]
10000000.0,0.5,0.35,0.08,0.44,1,1,[3911831.98019793]
10000000.0,0.5,0.35,0.08,0.46,1,1,[4088889.2873741]
10000000.0,0.5,0.35,0.08,0.48000000000000004,1,1,[4265796.44998348]
10000000.0,0.5,0.35,0.08,0.5,1,1,[4442528.44811424]
10000000.0,0.5,0.35,0.08,0.52,1,1,[4619054.63515608]
10000000.0,0.5,0.35,0.08,0.54,1,1,[4795337.11656238]
10000000.0,0.5,0.35,0.08,0.56,1,1,[4971328.54733316]
10000000.0,0.5,0.35,0.08,0.5800000000000001,1,1,[5146969.09440076]
10000000.0,0.5,0.35,0.08,0.6,1,1,[5322182.17705946]
10000000.0,0.5,0.35,0.08,0.62,1,1,[5496868.3826931]
10000000.0,0.5,0.35,0.08,0.64,1,1,[5670896.59545752]
10000000.0,0.5,0.35,0.08,0.66,1,1,[5844090.75888112]
10000000.0,0.5,0.35,0.08,0.68,1,1,[6016209.60054186]
10000000.0,0.5,0.35,0.08,0.7000000000000001,1,1,[6186914.63735812]
10000000.0,0.5,0.35,0.08,0.7200000000000001,1,1,[6355717.9246632]
10000000.0,0.5,0.35,0.08,0.74,1,1,[6521893.24586026]
10000000.0,0.5,0.35,0.08,0.76,1,1,[6684317.87718784]
10000000.0,0.5,0.35,0.08,0.78,1,1,[6841174.27636534]
10000000.0,0.5,0.35,0.08,0.8,1,1,[6989347.53536914]
10000000.0,0.5,0.35,0.08,0.8200000000000001,1,1,[7123098.66009322]
10000000.0,0.5,0.35,0.08,0.8400000000000001,1,1,[7230799.53384685]
10000000.0,0.5,0.35,0.08,0.86,1,1,[7285602.82717106]
10000000.0,0.5,0.35,0.08,0.88,1,1,[7212494.38213338]
10000000.0,0.5,0.35,0.08,0.9,1,1,[6728897.20067792]
10000000.0,0.5,0.35,0.08,0.92,1,1,[5928865.42935577]
10000000.0,0.5,0.35,0.1,0.02,1,1,[182272.284065]
10000000.0,0.5,0.35,0.1,0.04,1,1,[364528.76442958]
10000000.0,0.5,0.35,0.1,0.06,1,1,[546770.02948859]
10000000.0,0.5,0.35,0.1,0.08,1,1,[728995.69783283]
10000000.0,0.5,0.35,0.1,0.1,1,1,[911205.0811984]
10000000.0,0.5,0.35,0.1,0.12000000000000001,1,1,[1093397.27885635]
10000000.0,0.5,0.35,0.1,0.13999999999999999,1,1,[1275571.2033558]
10000000.0,0.5,0.35,0.1,0.16,1,1,[1457725.58347829]
10000000.0,0.5,0.35,0.1,0.18,1,1,[1639858.9556829]
10000000.0,0.5,0.35,0.1,0.19999999999999998,1,1,[1821969.64771741]
10000000.0,0.5,0.35,0.1,0.22,1,1,[2004055.75556624]
10000000.0,0.5,0.35,0.1,0.24,1,1,[2186115.11380164]
10000000.0,0.5,0.35,0.1,0.26,1,1,[2368145.258759]
10000000.0,0.5,0.35,0.1,0.28,1,1,[2550143.38346047]
10000000.0,0.5,0.35,0.1,0.30000000000000004,1,1,[2732106.28272924]
10000000.0,0.5,0.35,0.1,0.32,1,1,[2914030.28639467]
10000000.0,0.5,0.35,0.1,0.34,1,1,[3095911.17782541]
10000000.0,0.5,0.35,0.1,0.36000000000000004,1,1,[3277744.09417952]
10000000.0,0.5,0.35,0.1,0.38,1,1,[3459523.40364669]
10000000.0,0.5,0.35,0.1,0.4,1,1,[3641242.55347034]
10000000.0,0.5,0.35,0.1,0.42000000000000004,1,1,[3822893.88052243]
10000000.0,0.5,0.35,0.1,0.44,1,1,[4004468.37344184]
10000000.0,0.5,0.35,0.1,0.46,1,1,[4185955.3715146]
10000000.0,0.5,0.35,0.1,0.48000000000000004,1,1,[4367342.18008914]
10000000.0,0.5,0.35,0.1,0.5,1,1,[4548613.57465516]
10000000.0,0.5,0.35,0.1,0.52,1,1,[4729751.15465133]
10000000.0,0.5,0.35,0.1,0.54,1,1,[4910732.49185654]
10000000.0,0.5,0.35,0.1,0.56,1,1,[5091529.99407818]
10000000.0,0.5,0.35,0.1,0.5800000000000001,1,1,[5272109.3682569]
10000000.0,0.5,0.35,0.1,0.6,1,1,[5452427.51055493]
10000000.0,0.5,0.35,0.1,0.62,1,1,[5632429.56172397]
10000000.0,0.5,0.35,0.1,0.64,1,1,[5812044.72179242]
10000000.0,0.5,0.35,0.1,0.66,1,1,[5991180.17886683]
10000000.0,0.5,0.35,0.1,0.68,1,1,[6169712.09839922]
10000000.0,0.5,0.35,0.1,0.7000000000000001,1,1,[6347471.89888642]
10000000.0,0.5,0.35,0.1,0.7200000000000001,1,1,[6524224.7216996]
10000000.0,0.5,0.35,0.1,0.74,1,1,[6699634.48664861]
10000000.0,0.5,0.35,0.1,0.76,1,1,[6873204.88355087]
10000000.0,0.5,0.35,0.1,0.78,1,1,[7044174.95943552]
10000000.0,0.5,0.35,0.1,0.8,1,1,[7211323.71390035]
10000000.0,0.5,0.35,0.1,0.8200000000000001,1,1,[7372578.47466203]
10000000.0,0.5,0.35,0.1,0.8400000000000001,1,1,[7524159.68728802]
10000000.0,0.5,0.35,0.1,0.86,1,1,[7658494.1909723]
10000000.0,0.5,0.35,0.1,0.88,1,1,[7758300.54426217]
10000000.0,0.5,0.35,0.1,0.9,1,1,[7775792.54756306]
10000000.0,0.5,0.35,0.1,0.92,1,1,[7529728.83613271]
10000000.0,0.5,0.35,0.1,0.9400000000000001,1,1,[5791752.61561364]
10000000.0,0.5,0.35,0.12000000000000001,0.02,1,1,[184190.36704445]
10000000.0,0.5,0.35,0.12000000000000001,0.04,1,1,[368366.64332073]
10000000.0,0.5,0.35,0.12000000000000001,0.06,1,1,[552529.48719798]
10000000.0,0.5,0.35,0.12000000000000001,0.08,1,1,[736678.71676928]
10000000.0,0.5,0.35,0.12000000000000001,0.1,1,1,[920813.87861475]
10000000.0,0.5,0.35,0.12000000000000001,0.12000000000000001,1,1,[1104934.33605]
10000000.0,0.5,0.35,0.12000000000000001,0.13999999999999999,1,1,[1289039.29695897]
10000000.0,0.5,0.35,0.12000000000000001,0.16,1,1,[1473127.82112641]
10000000.0,0.5,0.35,0.12000000000000001,0.18,1,1,[1657198.81733558]
10000000.0,0.5,0.35,0.12000000000000001,0.19999999999999998,1,1,[1841251.0337945]
10000000.0,0.5,0.35,0.12000000000000001,0.22,1,1,[2025283.04320614]
