length_multiply,mpn_s,mpn_d,desired_p_decoy,desired_p_z_alice,factor_x_mud,factor_total,SKR
10000000.0,0.1,0.07,0.02,0.1,1,1,[607700.32853177]
10000000.0,0.1,0.07,0.02,0.12000000000000001,1,1,[728184.08708605]
10000000.0,0.1,0.07,0.02,0.13999999999999999,1,1,[844754.55107361]
10000000.0,0.1,0.07,0.02,0.16,1,1,[933810.43234553]
10000000.0,0.1,0.07,0.04,0.28,1,1,[2823520.4613248]
10000000.0,0.1,0.07,0.04,0.30000000000000004,1,1,[3024454.67932516]
10000000.0,0.1,0.07,0.04,0.32,1,1,[3224357.70264684]
10000000.0,0.1,0.07,0.04,0.34,1,1,[3422391.33356328]
10000000.0,0.1,0.07,0.04,0.36000000000000004,1,1,[3616675.87667492]
10000000.0,0.1,0.07,0.04,0.38,1,1,[3802637.17986538]
10000000.0,0.1,0.07,0.04,0.4,1,1,[3967082.91804276]
10000000.0,0.1,0.07,0.04,0.42000000000000004,1,1,[4059513.27026598]
10000000.0,0.1,0.07,0.04,0.44,1,1,[3744946.02871535]
10000000.0,0.1,0.07,0.06,0.46,1,1,[5204893.82411946]
10000000.0,0.1,0.07,0.06,0.48000000000000004,1,1,[5429649.66718555]
10000000.0,0.1,0.07,0.06,0.5,1,1,[5652762.30623609]
10000000.0,0.1,0.07,0.06,0.52,1,1,[5873063.39563167]
10000000.0,0.1,0.07,0.06,0.54,1,1,[6088100.0538351]
10000000.0,0.1,0.07,0.06,0.56,1,1,[6292346.94804554]
10000000.0,0.1,0.07,0.06,0.5800000000000001,1,1,[6471506.47452714]
10000000.0,0.1,0.07,0.06,0.6,1,1,[6579511.98544813]
10000000.0,0.1,0.07,0.06,0.62,1,1,[6397904.62045775]
10000000.0,0.1,0.07,0.06,0.64,1,1,[3909156.74751675]
10000000.0,0.1,0.07,0.08,0.6,1,1,[7110757.54457332]
10000000.0,0.1,0.07,0.08,0.62,1,1,[7344178.08316217]
10000000.0,0.1,0.07,0.08,0.64,1,1,[7573912.56034149]
10000000.0,0.1,0.07,0.08,0.66,1,1,[7796573.44901387]
10000000.0,0.1,0.07,0.08,0.68,1,1,[8004037.47632902]
10000000.0,0.1,0.07,0.08,0.7000000000000001,1,1,[8173496.3056097]
10000000.0,0.1,0.07,0.08,0.7200000000000001,1,1,[8221049.595929]
