length_multiply,mpn_s,mpn_d,desired_p_decoy,desired_p_z_alice,factor_x_mud,factor_total,SKR
10000000.0,0.25,0.175,0.02,0.02,1,1,[104475.57802282]
10000000.0,0.25,0.175,0.02,0.04,1,1,[207763.77593387]
10000000.0,0.25,0.175,0.02,0.06,1,1,[309204.27178677]
10000000.0,0.25,0.175,0.02,0.08,1,1,[407781.0499993]
10000000.0,0.25,0.175,0.02,0.1,1,1,[502201.37186581]
10000000.0,0.25,0.175,0.02,0.12000000000000001,1,1,[592700.03272645]
10000000.0,0.25,0.175,0.02,0.13999999999999999,1,1,[734508.03595907]
10000000.0,0.25,0.175,0.04,0.02,1,1,[156670.346357]
10000000.0,0.25,0.175,0.04,0.04,1,1,[312842.7345829]
10000000.0,0.25,0.175,0.04,0.06,1,1,[468453.76301745]
10000000.0,0.25,0.175,0.04,0.08,1,1,[623407.85851821]
10000000.0,0.25,0.175,0.04,0.1,1,1,[777584.30062141]
10000000.0,0.25,0.175,0.04,0.12000000000000001,1,1,[930833.25661831]
10000000.0,0.25,0.175,0.04,0.13999999999999999,1,1,[1082969.30299326]
10000000.0,0.25,0.175,0.04,0.16,1,1,[1233762.74934066]
10000000.0,0.25,0.175,0.04,0.18,1,1,[1382928.57181909]
10000000.0,0.25,0.175,0.04,0.19999999999999998,1,1,[1530112.8305861]
10000000.0,0.25,0.175,0.04,0.22,1,1,[1674877.06036266]
10000000.0,0.25,0.175,0.04,0.24,1,1,[1816683.00698488]
10000000.0,0.25,0.175,0.04,0.26,1,1,[1954885.2972534]
10000000.0,0.25,0.175,0.04,0.28,1,1,[2088754.04082293]
10000000.0,0.25,0.175,0.04,0.30000000000000004,1,1,[2217590.97025805]
10000000.0,0.25,0.175,0.04,0.32,1,1,[2341133.54850842]
10000000.0,0.25,0.175,0.04,0.34,1,1,[2460916.37278799]
10000000.0,0.25,0.175,0.04,0.36000000000000004,1,1,[2585486.25522758]
10000000.0,0.25,0.175,0.04,0.38,1,1,[2761353.38520667]
10000000.0,0.25,0.175,0.06,0.02,1,1,[172717.89199546]
10000000.0,0.25,0.175,0.06,0.04,1,1,[345080.63534742]
10000000.0,0.25,0.175,0.06,0.06,1,1,[517079.40907548]
10000000.0,0.25,0.175,0.06,0.08,1,1,[688686.56583436]
10000000.0,0.25,0.175,0.06,0.1,1,1,[859864.56208305]
10000000.0,0.25,0.175,0.06,0.12000000000000001,1,1,[1030566.8428418]
10000000.0,0.25,0.175,0.06,0.13999999999999999,1,1,[1200737.3667828]
10000000.0,0.25,0.175,0.06,0.16,1,1,[1370309.434424]
10000000.0,0.25,0.175,0.06,0.18,1,1,[1539203.96107966]
10000000.0,0.25,0.175,0.06,0.19999999999999998,1,1,[1707327.18414628]
10000000.0,0.25,0.175,0.06,0.22,1,1,[1874567.7189905]
10000000.0,0.25,0.175,0.06,0.24,1,1,[2040792.82051584]
10000000.0,0.25,0.175,0.06,0.26,1,1,[2205843.64989719]
10000000.0,0.25,0.175,0.06,0.28,1,1,[2369529.28013781]
