length_multiply,mpn_s,mpn_d,desired_p_decoy,desired_p_z_alice,factor_x_mud,factor_total,SKR
10000000.0,0.7,0.49,0.02,0.02,1,1,[12019.72389211]
10000000.0,0.7,0.49,0.02,0.04,1,1,[24013.80036898]
10000000.0,0.7,0.49,0.02,0.06,1,1,[35970.49666177]
10000000.0,0.7,0.49,0.02,0.08,1,1,[47871.35311887]
10000000.0,0.7,0.49,0.02,0.1,1,1,[59688.04451454]
10000000.0,0.7,0.49,0.02,0.12000000000000001,1,1,[71375.88195792]
10000000.0,0.7,0.49,0.02,0.13999999999999999,1,1,[82861.77750585]
10000000.0,0.7,0.49,0.02,0.16,1,1,[94020.87128616]
10000000.0,0.7,0.49,0.02,0.18,1,1,[104628.20562419]
10000000.0,0.7,0.49,0.02,0.19999999999999998,1,1,[114251.14484718]
10000000.0,0.7,0.49,0.02,0.22,1,1,[121989.96038963]
10000000.0,0.7,0.49,0.02,0.24,1,1,[125825.66466568]
10000000.0,0.7,0.49,0.02,0.26,1,1,[121882.30933426]
10000000.0,0.7,0.49,0.04,0.02,1,1,[23730.01232437]
10000000.0,0.7,0.49,0.04,0.04,1,1,[47449.09183205]
10000000.0,0.7,0.49,0.04,0.06,1,1,[71155.93781141]
10000000.0,0.7,0.49,0.04,0.08,1,1,[94848.52158501]
10000000.0,0.7,0.49,0.04,0.1,1,1,[118524.33646541]
10000000.0,0.7,0.49,0.04,0.12000000000000001,1,1,[142180.33427822]
10000000.0,0.7,0.49,0.04,0.13999999999999999,1,1,[165812.8073587]
10000000.0,0.7,0.49,0.04,0.16,1,1,[189417.22595718]
10000000.0,0.7,0.49,0.04,0.18,1,1,[212988.02181611]
10000000.0,0.7,0.49,0.04,0.19999999999999998,1,1,[236518.30032347]
10000000.0,0.7,0.49,0.04,0.22,1,1,[259999.45474896]
10000000.0,0.7,0.49,0.04,0.24,1,1,[283420.64362981]
10000000.0,0.7,0.49,0.04,0.26,1,1,[306768.07369943]
10000000.0,0.7,0.49,0.04,0.28,1,1,[330024.00185267]
10000000.0,0.7,0.49,0.04,0.30000000000000004,1,1,[353165.32385918]
10000000.0,0.7,0.49,0.04,0.32,1,1,[376161.543315]
10000000.0,0.7,0.49,0.04,0.34,1,1,[398971.79097893]
10000000.0,0.7,0.49,0.04,0.36000000000000004,1,1,[421540.3540188]
10000000.0,0.7,0.49,0.04,0.38,1,1,[443789.80405]
10000000.0,0.7,0.49,0.04,0.4,1,1,[465610.13840267]
10000000.0,0.7,0.49,0.04,0.42000000000000004,1,1,[486841.07506269]
10000000.0,0.7,0.49,0.04,0.44,1,1,[507242.13276411]
10000000.0,0.7,0.49,0.04,0.46,1,1,[526439.95278391]
10000000.0,0.7,0.49,0.04,0.48000000000000004,1,1,[543831.09685048]
10000000.0,0.7,0.49,0.04,0.5,1,1,[558392.96156754]
10000000.0,0.7,0.49,0.04,0.52,1,1,[568294.92152758]
10000000.0,0.7,0.49,0.04,0.54,1,1,[570065.24466625]
10000000.0,0.7,0.49,0.04,0.56,1,1,[556956.87630136]
10000000.0,0.7,0.49,0.04,0.5800000000000001,1,1,[521012.74997771]
10000000.0,0.7,0.49,0.06,0.02,1,1,[27366.25803866]
10000000.0,0.7,0.49,0.06,0.04,1,1,[54724.88897702]
10000000.0,0.7,0.49,0.06,0.06,1,1,[82075.63496013]
10000000.0,0.7,0.49,0.06,0.08,1,1,[109417.81495167]
10000000.0,0.7,0.49,0.06,0.1,1,1,[136750.55465872]
10000000.0,0.7,0.49,0.06,0.12000000000000001,1,1,[164072.80208317]
10000000.0,0.7,0.49,0.06,0.13999999999999999,1,1,[191383.31518312]
10000000.0,0.7,0.49,0.06,0.16,1,1,[218680.63669488]
10000000.0,0.7,0.49,0.06,0.18,1,1,[245963.05874933]
10000000.0,0.7,0.49,0.06,0.19999999999999998,1,1,[273228.57685907]
10000000.0,0.7,0.49,0.06,0.22,1,1,[300474.8314248]
10000000.0,0.7,0.49,0.06,0.24,1,1,[327699.03377127]
10000000.0,0.7,0.49,0.06,0.26,1,1,[354897.87246574]
10000000.0,0.7,0.49,0.06,0.28,1,1,[382067.39406311]
10000000.0,0.7,0.49,0.06,0.30000000000000004,1,1,[409202.85023481]
10000000.0,0.7,0.49,0.06,0.32,1,1,[436298.50017376]
10000000.0,0.7,0.49,0.06,0.34,1,1,[463347.35278815]
10000000.0,0.7,0.49,0.06,0.36000000000000004,1,1,[490340.82683486]
10000000.0,0.7,0.49,0.06,0.38,1,1,[517268.29775121]
10000000.0,0.7,0.49,0.06,0.4,1,1,[544116.48584722]
