length_multiply,mpn_s,mpn_d,desired_p_decoy,desired_p_z_alice,factor_x_mud,factor_total,SKR
10000000.0,0.25,0.175,0.06,0.06,1,1,[398536.98449344]
10000000.0,0.25,0.175,0.08,0.08,1,1,[344657.03720349]
10000000.0,0.25,0.175,0.08,0.1,1,1,[665177.21079192]
10000000.0,0.25,0.175,0.1,0.13999999999999999,1,1,[740914.83802155]
10000000.0,0.25,0.175,0.12000000000000001,0.18,1,1,[558398.50084326]
10000000.0,0.25,0.175,0.12000000000000001,0.19999999999999998,1,1,[1487880.02675614]
10000000.0,0.25,0.175,0.13999999999999999,0.22,1,1,[101093.67582145]
10000000.0,0.25,0.175,0.13999999999999999,0.24,1,1,[1391355.53210717]
10000000.0,0.25,0.175,0.16,0.28,1,1,[1132621.09281227]
10000000.0,0.25,0.175,0.16,0.30000000000000004,1,1,[2193900.04136537]
10000000.0,0.25,0.175,0.18,0.32,1,1,[770093.22748504]
10000000.0,0.25,0.175,0.18,0.34,1,1,[2085687.55186964]
10000000.0,0.25,0.175,0.19999999999999998,0.36000000000000004,1,1,[413510.36002808]
10000000.0,0.25,0.175,0.19999999999999998,0.38,1,1,[1981743.10899641]
10000000.0,0.25,0.175,0.19999999999999998,0.4,1,1,[3347471.45170545]
10000000.0,0.25,0.175,0.22,0.4,1,1,[179319.30565183]
10000000.0,0.25,0.175,0.22,0.42000000000000004,1,1,[1951505.62674785]
10000000.0,0.25,0.175,0.22,0.44,1,1,[3389503.79333788]
10000000.0,0.25,0.175,0.24,0.44,1,1,[158791.98081725]
10000000.0,0.25,0.175,0.24,0.46,1,1,[2071404.23842676]
10000000.0,0.25,0.175,0.24,0.48000000000000004,1,1,[3690034.65199795]
10000000.0,0.25,0.175,0.26,0.48000000000000004,1,1,[413626.24666833]
10000000.0,0.25,0.175,0.26,0.5,1,1,[2403151.14642789]
10000000.0,0.25,0.175,0.28,0.52,1,1,[976606.81784596]
10000000.0,0.25,0.175,0.28,0.54,1,1,[2997951.41016103]
10000000.0,0.25,0.175,0.30000000000000004,0.56,1,1,[1848377.96581495]
10000000.0,0.25,0.175,0.30000000000000004,0.5800000000000001,1,1,[4001388.53505576]
10000000.0,0.25,0.175,0.32,0.5800000000000001,1,1,[576175.14517757]
10000000.0,0.25,0.175,0.32,0.6,1,1,[3033797.35293623]
10000000.0,0.25,0.175,0.34,0.62,1,1,[2181162.48963222]
10000000.0,0.25,0.175,0.36000000000000004,0.64,1,1,[1387775.36126612]
10000000.0,0.25,0.175,0.36000000000000004,0.66,1,1,[4258784.46783549]
10000000.0,0.25,0.175,0.38,0.66,1,1,[713150.33236578]
10000000.0,0.25,0.175,0.38,0.68,1,1,[3831198.59746919]
10000000.0,0.25,0.175,0.4,0.68,1,1,[228760.45678407]
10000000.0,0.25,0.175,0.4,0.7000000000000001,1,1,[3651505.66612948]
10000000.0,0.25,0.175,0.42000000000000004,0.7200000000000001,1,1,[3727459.13976687]
10000000.0,0.25,0.175,0.44,0.7200000000000001,1,1,[53478.92580329]
10000000.0,0.25,0.175,0.44,0.74,1,1,[4139291.00001042]
10000000.0,0.25,0.175,0.46,0.74,1,1,[444850.31609429]
10000000.0,0.25,0.175,0.46,0.76,1,1,[5474233.88391178]
10000000.0,0.25,0.175,0.48000000000000004,0.76,1,1,[1197985.72180999]
10000000.0,0.25,0.175,0.5,0.78,1,1,[2344400.85902923]
10000000.0,0.25,0.175,0.52,0.8,1,1,[4112265.7707135]
10000000.0,0.25,0.175,0.54,0.78,1,1,[2419861.8267937]
10000000.0,0.25,0.175,0.54,0.8,1,1,[221248.37199004]
10000000.0,0.25,0.175,0.56,0.8200000000000001,1,1,[2604923.92329447]
10000000.0,0.25,0.175,0.6,0.8400000000000001,1,1,[1954430.10188137]
10000000.0,0.25,0.175,0.64,0.86,1,1,[2400245.98368458]
10000000.0,0.25,0.175,0.68,0.86,1,1,[1352946.15656137]
10000000.0,0.25,0.175,0.7000000000000001,0.88,1,1,[262952.41385601]
10000000.0,0.25,0.175,0.76,0.9,1,1,[705667.35062841]
10000000.0,0.25,0.175,0.86,0.92,1,1,[94123.18656954]
10000000.0,0.25,0.175,0.98,0.8200000000000001,1,1,[4136525.62696313]
10000000.0,0.25,0.175,0.98,0.8400000000000001,1,1,[3481697.82345828]
100000000.0,0.25,0.175,0.02,0.06,1,1,[253894.28843342]
100000000.0,0.25,0.175,0.04,0.19999999999999998,1,1,[560330.02769923]
100000000.0,0.25,0.175,0.04,0.22,1,1,[1662400.6774359]
100000000.0,0.25,0.175,0.04,0.24,1,1,[2194307.63256597]
100000000.0,0.25,0.175,0.06,0.36000000000000004,1,1,[1154159.8644183]
100000000.0,0.25,0.175,0.06,0.38,1,1,[2592455.97611111]
100000000.0,0.25,0.175,0.06,0.4,1,1,[3426561.97733474]
100000000.0,0.25,0.175,0.08,0.5,1,1,[1863856.14637416]
100000000.0,0.25,0.175,0.08,0.52,1,1,[3567148.78914488]
100000000.0,0.25,0.175,0.08,0.54,1,1,[4661020.0005419]
100000000.0,0.25,0.175,0.1,0.6,1,1,[1162555.93160058]
100000000.0,0.25,0.175,0.1,0.62,1,1,[3721143.21324494]
100000000.0,0.25,0.175,0.1,0.64,1,1,[5299207.57468212]
100000000.0,0.25,0.175,0.12000000000000001,0.68,1,1,[1126305.2957847]
100000000.0,0.25,0.175,0.12000000000000001,0.7000000000000001,1,1,[4277356.34158681]
100000000.0,0.25,0.175,0.12000000000000001,0.7200000000000001,1,1,[6307167.42055285]
100000000.0,0.25,0.175,0.13999999999999999,0.74,1,1,[1026226.68792548]
100000000.0,0.25,0.175,0.13999999999999999,0.76,1,1,[4832561.75734]
100000000.0,0.25,0.175,0.16,0.8,1,1,[4445372.84717652]
100000000.0,0.25,0.175,0.18,0.8200000000000001,1,1,[611491.6985563]
100000000.0,0.25,0.175,0.18,0.8400000000000001,1,1,[5986928.67056714]
100000000.0,0.25,0.175,0.19999999999999998,0.86,1,1,[4837852.34832202]
100000000.0,0.25,0.175,0.22,0.88,1,1,[4784930.28646953]
100000000.0,0.25,0.175,0.24,0.9,1,1,[6212454.28013827]
100000000.0,0.25,0.175,0.28,0.92,1,1,[4548721.99400241]
100000000.0,0.25,0.175,0.32,0.9400000000000001,1,1,[6936291.31111913]
100000000.0,0.25,0.175,0.34,0.9400000000000001,1,1,[1482011.57442682]
100000000.0,0.25,0.175,0.4,0.9600000000000001,1,1,[6939168.80766889]
100000000.0,0.25,0.175,0.42000000000000004,0.9600000000000001,1,1,[1686508.4350007]
100000000.0,0.25,0.175,0.5800000000000001,0.98,1,1,[2877405.04502321]
100000000.0,0.25,0.175,0.62,0.98,1,1,[1358687.41499685]
100000000.0,0.25,0.175,0.98,0.98,1,1,[4865914.22305644]
1000000000.0,0.25,0.175,0.02,0.38,1,1,[723121.1904649]
1000000000.0,0.25,0.175,0.02,0.4,1,1,[2828828.45850184]
1000000000.0,0.25,0.175,0.02,0.42000000000000004,1,1,[3710229.42689197]
1000000000.0,0.25,0.175,0.02,0.44,1,1,[4233867.2803242]
1000000000.0,0.25,0.175,0.04,0.7200000000000001,1,1,[3570422.65467778]
1000000000.0,0.25,0.175,0.04,0.74,1,1,[6126203.96772213]
1000000000.0,0.25,0.175,0.04,0.76,1,1,[7416903.2881413]
1000000000.0,0.25,0.175,0.06,0.86,1,1,[6219612.50167823]
