length_multiply,mpn_s,mpn_d,desired_p_decoy,desired_p_z_alice,factor_x_mud,factor_total,SKR
10000000.0,0.25,0.175,0.06,0.1,1,1,[658950.33509898]
10000000.0,0.25,0.175,0.08,0.16,1,1,[948022.02338768]
10000000.0,0.25,0.175,0.1,0.22,1,1,[780272.16071781]
10000000.0,0.25,0.175,0.12000000000000001,0.28,1,1,[271767.73492972]
10000000.0,0.25,0.175,0.12000000000000001,0.30000000000000004,1,1,[2341404.87784785]
10000000.0,0.25,0.175,0.13999999999999999,0.36000000000000004,1,1,[2451176.27097676]
10000000.0,0.25,0.175,0.16,0.4,1,1,[102405.48738369]
10000000.0,0.25,0.175,0.16,0.42000000000000004,1,1,[2897360.97539643]
10000000.0,0.25,0.175,0.18,0.46,1,1,[1175202.33065079]
10000000.0,0.25,0.175,0.18,0.48000000000000004,1,1,[4203927.902699]
10000000.0,0.25,0.175,0.19999999999999998,0.52,1,1,[3050218.53357302]
10000000.0,0.25,0.175,0.22,0.56,1,1,[2535105.81203343]
10000000.0,0.25,0.175,0.24,0.6,1,1,[2738858.60052041]
10000000.0,0.25,0.175,0.26,0.64,1,1,[3927132.40695065]
10000000.0,0.25,0.175,0.28,0.64,1,1,[494584.0977364]
10000000.0,0.25,0.175,0.28,0.66,1,1,[993508.37201977]
10000000.0,0.25,0.175,0.30000000000000004,0.7000000000000001,1,1,[4482704.93053392]
10000000.0,0.25,0.175,0.32,0.7200000000000001,1,1,[2859658.7603604]
10000000.0,0.25,0.175,0.34,0.7200000000000001,1,1,[2549246.16780157]
10000000.0,0.25,0.175,0.34,0.74,1,1,[1856585.2374051]
10000000.0,0.25,0.175,0.36000000000000004,0.76,1,1,[1562974.58505015]
10000000.0,0.25,0.175,0.38,0.78,1,1,[2150317.20466487]
10000000.0,0.25,0.175,0.4,0.78,1,1,[1873985.69580872]
10000000.0,0.25,0.175,0.4,0.8,1,1,[3852242.01351272]
10000000.0,0.25,0.175,0.46,0.8400000000000001,1,1,[3175768.01272629]
10000000.0,0.25,0.175,0.5,0.86,1,1,[1550933.97916384]
10000000.0,0.25,0.175,0.52,0.86,1,1,[144399.78782247]
10000000.0,0.25,0.175,0.54,0.88,1,1,[3096288.09724643]
10000000.0,0.25,0.175,0.66,0.92,1,1,[4389574.63393101]
10000000.0,0.25,0.175,0.92,0.9400000000000001,1,1,[4652186.80909576]
10000000.0,0.25,0.175,0.9400000000000001,0.92,1,1,[4769688.7608456]
10000000.0,0.25,0.175,0.9400000000000001,0.9400000000000001,1,1,[3533710.24578703]
10000000.0,0.25,0.175,0.9600000000000001,0.88,1,1,[4485341.86019473]
10000000.0,0.25,0.175,0.9600000000000001,0.9,1,1,[4470072.10237832]
10000000.0,0.25,0.175,0.9600000000000001,0.92,1,1,[4062186.5360507]
10000000.0,0.25,0.175,0.98,0.8,1,1,[3902531.02646065]
10000000.0,0.25,0.175,0.98,0.8200000000000001,1,1,[3974848.92714652]
10000000.0,0.25,0.175,0.98,0.8400000000000001,1,1,[4018028.25986655]
10000000.0,0.25,0.175,0.98,0.86,1,1,[3997676.81559865]
10000000.0,0.25,0.175,0.98,0.88,1,1,[3818995.50014475]
10000000.0,0.25,0.175,0.98,0.9,1,1,[3489152.36762365]
100000000.0,0.25,0.175,0.02,0.12000000000000001,1,1,[1086339.15629106]
100000000.0,0.25,0.175,0.04,0.32,1,1,[1346104.81776342]
100000000.0,0.25,0.175,0.04,0.34,1,1,[3005444.11466812]
100000000.0,0.25,0.175,0.06,0.52,1,1,[3496867.9595483]
100000000.0,0.25,0.175,0.06,0.54,1,1,[5330116.06924745]
100000000.0,0.25,0.175,0.08,0.64,1,1,[676627.09995652]
100000000.0,0.25,0.175,0.08,0.66,1,1,[5171017.67407514]
100000000.0,0.25,0.175,0.1,0.74,1,1,[3658188.34142063]
100000000.0,0.25,0.175,0.12000000000000001,0.8,1,1,[3342031.2353349]
100000000.0,0.25,0.175,0.13999999999999999,0.8400000000000001,1,1,[1793324.32554588]
100000000.0,0.25,0.175,0.16,0.88,1,1,[7246039.14895491]
100000000.0,0.25,0.175,0.18,0.9,1,1,[6430692.74593708]
100000000.0,0.25,0.175,0.24,0.9400000000000001,1,1,[8736665.91700917]
100000000.0,0.25,0.175,0.98,0.98,1,1,[4953149.83144127]
1000000000.0,0.25,0.175,0.02,0.54,1,1,[2181307.75970403]
1000000000.0,0.25,0.175,0.02,0.56,1,1,[5108072.19942445]
1000000000.0,0.25,0.175,0.02,0.5800000000000001,1,1,[6161185.18822879]
1000000000.0,0.25,0.175,0.04,0.8200000000000001,1,1,[528482.13060552]
1000000000.0,0.25,0.175,0.04,0.8400000000000001,1,1,[8405149.73450311]
1000000000.0,0.25,0.175,0.06,0.92,1,1,[8859021.54798127]
